#CUI	Disease name	Drug name	DrugbankID
C0014544	epilepsy	lamotrigine	DB00555
C2931456	prostate cancer, familial	ethinyl estradiol	DB00977
C2931456	prostate cancer, familial	cabazitaxel	DB06772
C2931456	prostate cancer, familial	celecoxib	DB00482
C2931456	prostate cancer, familial	estradiol	DB00783
C2931456	prostate cancer, familial	dexamethasone	DB01234
C2931456	prostate cancer, familial	vitamin c	DB00126
C2931456	prostate cancer, familial	mitoxantrone	DB01204
C2931456	prostate cancer, familial	docetaxel	DB01248
C0376358	malignant neoplasm of prostate	ethinyl estradiol	DB00977
C0376358	malignant neoplasm of prostate	cabazitaxel	DB06772
C0376358	malignant neoplasm of prostate	celecoxib	DB00482
C0376358	malignant neoplasm of prostate	estradiol	DB00783
C0376358	malignant neoplasm of prostate	dexamethasone	DB01234
C0376358	malignant neoplasm of prostate	vitamin c	DB00126
C0376358	malignant neoplasm of prostate	mitoxantrone	DB01204
C0376358	malignant neoplasm of prostate	docetaxel	DB01248
C0002736	amyotrophic lateral sclerosis	riluzole	DB00740
C0002736	amyotrophic lateral sclerosis	dextromethorphan	DB00514
C0017668	focal glomerulosclerosis	cyclosporine	DB00091
C0699791	stomach carcinoma	docetaxel	DB01248
C0018099	gout	indomethacin	DB00328
C0018099	gout	acetylsalicylic acid	DB00945
C0919267	ovarian neoplasm	vinorelbine	DB00361
C0919267	ovarian neoplasm	paclitaxel	DB01229
C0919267	ovarian neoplasm	docetaxel	DB01248
C0010308	congenital hypothyroidism	liothyronine	DB00279
C0020676	hypothyroidism	liothyronine	DB00279
C0032460	polycystic ovary syndrome	ethinyl estradiol	DB00977
C0032460	polycystic ovary syndrome	metformin	DB00331
C1136382	sclerocystic ovaries	ethinyl estradiol	DB00977
C1136382	sclerocystic ovaries	metformin	DB00331
C0004153	atherosclerosis	lidocaine	DB00281
C0004153	atherosclerosis	dipyridamole	DB00975
C0004153	atherosclerosis	amlodipine	DB00381
C0004153	atherosclerosis	fenofibrate	DB01039
C0004153	atherosclerosis	acetylsalicylic acid	DB00945
C0004153	atherosclerosis	nifedipine	DB01115
C0004153	atherosclerosis	furosemide	DB00695
C0004153	atherosclerosis	diltiazem	DB00343
C1956346	coronary artery disease	lidocaine	DB00281
C1956346	coronary artery disease	dipyridamole	DB00975
C1956346	coronary artery disease	amlodipine	DB00381
C1956346	coronary artery disease	fenofibrate	DB01039
C1956346	coronary artery disease	acetylsalicylic acid	DB00945
C1956346	coronary artery disease	nifedipine	DB01115
C1956346	coronary artery disease	furosemide	DB00695
C1956346	coronary artery disease	diltiazem	DB00343
C0036341	schizophrenia	trazodone	DB00656
C0036341	schizophrenia	clonazepam	DB01068
C0036341	schizophrenia	thiothixene	DB01623
C0036341	schizophrenia	sertraline	DB01104
C0036341	schizophrenia	mesoridazine	DB00933
C0036341	schizophrenia	haloperidol	DB00502
C0036341	schizophrenia	aripiprazole	DB01238
C0036341	schizophrenia	trifluoperazine	DB00831
C0036341	schizophrenia	thioridazine	DB00679
C0036341	schizophrenia	loxapine	DB00408
C0036341	schizophrenia	fluphenazine	DB00623
C0036341	schizophrenia	eszopiclone	DB00402
C0036341	schizophrenia	valproic acid	DB00313
C0036341	schizophrenia	olanzapine	DB00334
C0036341	schizophrenia	carbamazepine	DB00564
C0036341	schizophrenia	risperidone	DB00734
C0036341	schizophrenia	paliperidone	DB01267
C0036341	schizophrenia	fluoxetine	DB00472
C0036341	schizophrenia	chlorpromazine	DB00477
C0036341	schizophrenia	quetiapine	DB01224
C0036341	schizophrenia	clozapine	DB00363
C0036341	schizophrenia	ziprasidone	DB00246
C0036341	schizophrenia	benzatropine	DB00245
C0036341	schizophrenia	cyproheptadine	DB00434
C0036341	schizophrenia	lamotrigine	DB00555
C0036337	schizoaffective disorder	trazodone	DB00656
C0036337	schizoaffective disorder	clonazepam	DB01068
C0036337	schizoaffective disorder	thiothixene	DB01623
C0036337	schizoaffective disorder	sertraline	DB01104
C0036337	schizoaffective disorder	mesoridazine	DB00933
C0036337	schizoaffective disorder	haloperidol	DB00502
C0036337	schizoaffective disorder	aripiprazole	DB01238
C0036337	schizoaffective disorder	trifluoperazine	DB00831
C0036337	schizoaffective disorder	thioridazine	DB00679
C0036337	schizoaffective disorder	loxapine	DB00408
C0036337	schizoaffective disorder	fluphenazine	DB00623
C0036337	schizoaffective disorder	eszopiclone	DB00402
C0036337	schizoaffective disorder	valproic acid	DB00313
C0036337	schizoaffective disorder	olanzapine	DB00334
C0036337	schizoaffective disorder	carbamazepine	DB00564
C0036337	schizoaffective disorder	risperidone	DB00734
C0036337	schizoaffective disorder	paliperidone	DB01267
C0036337	schizoaffective disorder	fluoxetine	DB00472
C0036337	schizoaffective disorder	chlorpromazine	DB00477
C0036337	schizoaffective disorder	quetiapine	DB01224
C0036337	schizoaffective disorder	clozapine	DB00363
C0036337	schizoaffective disorder	ziprasidone	DB00246
C0036337	schizoaffective disorder	benzatropine	DB00245
C0036337	schizoaffective disorder	cyproheptadine	DB00434
C0036337	schizoaffective disorder	lamotrigine	DB00555
C0005586	bipolar disorder	carbamazepine	DB00564
C0005586	bipolar disorder	olanzapine	DB00334
C0005586	bipolar disorder	aripiprazole	DB01238
C0005586	bipolar disorder	chlorpromazine	DB00477
C0005586	bipolar disorder	citalopram	DB00215
C0005586	bipolar disorder	valproic acid	DB00313
C0005586	bipolar disorder	clonazepam	DB01068
C0005586	bipolar disorder	gabapentin	DB00996
C0005586	bipolar disorder	quetiapine	DB01224
C0005586	bipolar disorder	risperidone	DB00734
C0005586	bipolar disorder	paroxetine	DB00715
C0005586	bipolar disorder	clozapine	DB00363
C0005586	bipolar disorder	ziprasidone	DB00246
C0005586	bipolar disorder	topiramate	DB00273
C0005586	bipolar disorder	lamotrigine	DB00555
C0005586	bipolar disorder	trazodone	DB00656
C0338831	manic	carbamazepine	DB00564
C0338831	manic	olanzapine	DB00334
C0338831	manic	aripiprazole	DB01238
C0338831	manic	chlorpromazine	DB00477
C0338831	manic	citalopram	DB00215
C0338831	manic	valproic acid	DB00313
C0338831	manic	clonazepam	DB01068
C0338831	manic	gabapentin	DB00996
C0338831	manic	quetiapine	DB01224
C0338831	manic	risperidone	DB00734
C0338831	manic	paroxetine	DB00715
C0338831	manic	clozapine	DB00363
C0338831	manic	ziprasidone	DB00246
C0338831	manic	topiramate	DB00273
C0338831	manic	lamotrigine	DB00555
C0338831	manic	trazodone	DB00656
C0022665	kidney neoplasm	paclitaxel	DB01229
C0022665	kidney neoplasm	dexamethasone	DB01234
C0022665	kidney neoplasm	gemcitabine	DB00441
C0022665	kidney neoplasm	sunitinib	DB01268
C0022665	kidney neoplasm	erlotinib	DB00530
C0022665	kidney neoplasm	pazopanib	DB06589
C0022665	kidney neoplasm	vinblastine	DB00570
C0022665	kidney neoplasm	sorafenib	DB00398
C0022665	kidney neoplasm	celecoxib	DB00482
C0022665	kidney neoplasm	vincristine	DB00541
C0011615	dermatitis, atopic	doxepin	DB01142
C0011615	dermatitis, atopic	dexamethasone	DB01234
C0007114	malignant neoplasm of skin	docetaxel	DB01248
C0028754	obesity	topiramate	DB00273
C0028754	obesity	methamphetamine	DB01577
