Drug name	DrugBankID	# genes in drug DBs and network	# drugbank	# dgidb	# chembl	# drugcentral
diazepam	DB00829	16	12	15	11	8
gemcitabine	DB00441	16	3	2	14	6
dihydroergotamine	DB00320	15	3	4	0	13
clomipramine	DB01242	15	6	3	1	14
pergolide	DB01186	15	14	11	5	13
clonazepam	DB01068	15	2	14	11	11
vincristine	DB00541	15	2	3	15	9
acetylsalicylic acid	DB00945	15	11	6	2	2
apomorphine	DB00714	15	12	11	3	12
talbutal	DB00306	15	9	15	11	11
lorazepam	DB00186	15	1	15	11	3
liothyronine	DB00279	15	3	2	2	14
butabarbital	DB00237	15	4	9	11	3
gentian violet	DB00406	15	0	0	0	15
hexachlorophene	DB00756	15	3	0	0	13
paroxetine	DB00715	15	4	5	1	10
cholic acid	DB02659	15	15	0	0	1
ixabepilone	DB04845	15	1	14	15	9
cabazitaxel	DB06772	15	2	14	15	9
dextromethorphan	DB00514	15	13	3	2	4
triazolam	DB00897	15	14	14	11	12
butalbital	DB00241	15	9	15	11	3
fenfluramine	DB00574	14	4	1	2	12
alvocidib	DB03496	14	12	10	6	0
domperidone	DB01184	14	2	2	0	14
dopamine	DB00988	14	10	5	1	10
troglitazone	DB00197	14	9	1	1	6
acetaminophen	DB00316	14	5	6	4	9
clotiazepam	DB01559	14	11	12	11	0
ellagic acid	DB08846	14	14	0	0	0
pregabalin	DB00230	14	1	14	14	1
midazolam	DB00683	14	13	13	11	6
romidepsin	DB06176	14	5	0	0	13
pethidine	DB00454	14	11	1	1	6
clorazepate	DB00628	14	1	14	11	6
temazepam	DB00231	14	14	14	11	3
estazolam	DB01215	14	11	14	11	6
methysergide	DB00247	14	6	8	0	11
acalabrutinib	DB11703	14	1	14	1	0
glycerin	DB09462	14	12	2	0	0
danazol	DB01406	14	4	3	2	13
phentolamine	DB00692	14	4	3	4	14
methohexital	DB00474	14	1	3	11	4
clofarabine	DB00631	14	2	6	14	3
adinazolam	DB00546	14	11	12	0	11
cefapirin	DB01139	14	0	1	0	13
chlordiazepoxide	DB00475	14	0	13	11	7
dexfenfluramine	DB01191	14	2	1	7	12
serine	DB00133	14	14	0	0	0
gabapentin enacarbil	DB08872	14	1	14	14	1
ergotamine	DB00696	14	12	6	4	0
nitrazepam	DB01595	14	14	14	0	3
flurazepam	DB00690	13	13	13	11	3
gefitinib	DB00317	13	1	1	1	13
amiloride	DB00594	13	8	10	3	4
estradiol valerate	DB13956	13	8	2	1	7
terconazole	DB00251	13	0	0	0	13
pipamperone	DB09286	13	8	3	0	10
bromazepam	DB01558	13	13	13	1	3
iron	DB01592	13	13	0	0	0
vorinostat	DB02546	13	5	9	4	13
quazepam	DB01589	13	10	13	11	5
clemastine	DB00283	13	0	0	0	13
methyprylon	DB01107	13	1	13	11	3
methotrimeprazine	DB01403	13	12	8	3	0
mibefradil	DB01388	13	7	5	1	5
halazepam	DB00801	13	11	13	11	11
estradiol benzoate	DB13953	13	8	0	0	6
adipiplon	DB06579	13	0	13	11	0
ruxolitinib	DB08877	13	2	4	2	13
meprobamate	DB00371	13	5	13	11	5
picrotoxin	DB00466	13	3	13	0	0
levorphanol	DB00854	13	3	2	1	13
ibuprofen	DB01050	13	8	4	2	4
valdecoxib	DB00580	13	3	3	1	12
disulfiram	DB00822	13	1	1	1	13
progesterone	DB00396	13	9	6	1	6
caffeine	DB00201	13	9	5	3	6
fospropofol	DB06716	13	2	4	0	11
prazepam	DB01588	13	11	13	11	3
clobazam	DB00349	13	0	13	11	3
nefazodone	DB01149	13	10	8	4	9
amlodipine	DB00381	13	7	6	3	9
cisapride	DB00604	13	2	0	0	13
mifepristone	DB00834	13	4	3	2	11
ketoconazole	DB01026	13	4	0	0	10
marimastat	DB00786	13	13	5	5	0
menadione	DB00170	13	10	10	0	2
nicardipine	DB00622	13	10	1	3	4
ropinirole	DB00268	13	11	5	3	6
dovitinib	DB05928	13	0	13	8	0
procainamide	DB01035	12	3	2	7	11
l-cysteine	DB00151	12	12	0	0	0
methylphenobarbital	DB00849	12	10	1	0	3
tofacitinib	DB08895	12	4	2	4	11
arsenic trioxide	DB01169	12	10	8	1	2
mezlocillin	DB00948	12	0	0	0	12
diltiazem	DB00343	12	1	4	3	7
nitrendipine	DB01054	12	5	5	0	7
riluzole	DB00740	12	2	10	7	3
ivermectin	DB00602	12	1	3	0	8
labetalol	DB00598	12	3	5	6	8
perphenazine	DB00850	12	3	6	1	8
montelukast	DB00471	12	1	1	0	11
valproic acid	DB00313	12	9	7	1	3
gaboxadol	DB06554	12	0	12	8	0
cinolazepam	DB01594	12	11	12	0	0
belinostat	DB05015	12	1	12	11	11
buspirone	DB00490	12	2	3	1	11
prazosin	DB00457	12	5	5	3	11
salicylic acid	DB00936	12	3	4	0	7
sulconazole	DB06820	12	0	0	0	12
safinamide	DB06654	12	1	12	1	1
emricasan	DB05408	12	3	12	12	0
eszopiclone	DB00402	12	4	12	11	6
vardenafil	DB00862	12	2	0	0	10
nafamostat	DB12598	12	5	7	0	5
lenvatinib	DB09078	12	8	7	3	9
progabide	DB00837	12	2	2	0	11
ethinyl estradiol	DB00977	12	3	1	1	10
diclofenac	DB00586	12	7	5	2	4
trimipramine	DB00726	12	11	3	7	3
nimodipine	DB00393	12	8	6	4	5
papaverine	DB01113	12	2	3	0	10
flunitrazepam	DB01544	12	8	6	11	6
lidocaine	DB00281	12	6	10	7	0
pentamidine	DB00738	12	1	0	0	11
fluspirilene	DB04842	12	3	4	0	10
thiothixene	DB01623	12	3	2	2	12
thimerosal	DB11590	12	2	0	0	10
cytarabine	DB00987	12	1	4	11	3
citalopram	DB00215	11	3	2	1	10
epinephrine	DB00668	11	9	6	6	8
patupilone	DB03010	11	11	0	0	0
pracinostat	DB05223	11	4	11	0	0
tetracaine	DB09085	11	1	7	7	7
phenytoin	DB00252	11	5	9	7	6
l-alanine	DB00160	11	11	1	0	0
mitoxantrone	DB01204	11	1	3	1	9
mesoridazine	DB00933	11	2	9	2	8
iloprost	DB01088	11	6	6	1	6
mesalazine	DB00244	11	6	11	4	4
furosemide	DB00695	11	2	2	1	11
doxazosin	DB00590	11	4	3	3	11
methaqualone	DB04833	11	0	0	11	9
pagoclone	DB04903	11	2	2	11	0
flumazenil	DB01205	11	2	11	11	11
icosapent	DB00159	11	10	4	0	3
thiamylal	DB01154	11	1	1	11	11
rosiglitazone	DB00412	11	7	2	1	5
acetylcysteine	DB06151	11	10	0	0	1
ergonovine	DB01253	11	1	1	0	9
etomidate	DB00292	11	1	11	11	4
pseudoephedrine	DB00852	11	10	7	1	4
oxtriphylline	DB01303	11	5	9	0	10
panobinostat	DB06603	11	1	11	11	11
quinacrine	DB01103	11	1	0	0	10
glutethimide	DB01437	11	1	11	11	3
trichlormethiazide	DB01021	11	5	6	1	8
clomethiazole	DB06470	11	1	0	11	3
sertraline	DB01104	11	3	2	1	11
dexamethasone	DB01234	11	5	4	1	6
epothilone d	DB01873	11	11	1	0	0
propranolol	DB00571	11	4	4	2	10
pramipexole	DB00413	11	11	3	3	5
ingenol mebutate	DB05013	11	2	11	0	1
indomethacin	DB00328	11	7	4	2	6
ganaxolone	DB05087	11	5	5	11	0
ketotifen	DB00920	11	1	1	0	9
troxacitabine	DB04961	11	0	0	11	0
mexiletine	DB00379	11	2	3	7	7
nisoldipine	DB00401	11	4	5	3	7
fludiazepam	DB01567	11	11	11	0	0
zimelidine	DB04832	11	2	0	7	3
ethchlorvynol	DB00189	11	0	11	11	3
prasterone	DB01708	11	11	1	0	0
cyclosporine	DB00091	11	4	7	1	4
perhexiline	DB01074	11	3	3	3	7
vitamin a	DB00162	11	10	1	0	0
delorazepam	DB01511	11	0	0	0	11
cladribine	DB00242	11	9	1	0	1
benzatropine	DB00245	11	2	2	1	11
proparacaine	DB00807	11	1	5	7	5
benzethonium	DB11125	11	0	0	0	11
cannabidiol	DB09061	11	11	1	0	0
hexobarbital	DB01355	11	9	9	0	5
thiethylperazine	DB00372	11	3	6	1	10
disopyramide	DB00280	11	5	2	7	3
galantamine	DB00674	11	11	1	1	2
pyrimethamine	DB00205	11	2	9	0	2
phenelzine	DB00780	10	4	6	1	5
reserpine	DB00206	10	1	0	0	9
chlorthalidone	DB00310	10	1	6	1	9
vinorelbine	DB00361	10	1	0	0	10
tropisetron	DB11699	10	0	1	0	9
amisulpride	DB06288	10	3	2	9	6
phenoxybenzamine	DB00925	10	6	2	4	5
fenofibrate	DB01039	10	4	1	1	8
thalidomide	DB01041	10	5	8	4	4
spironolactone	DB00421	10	7	3	1	5
methamphetamine	DB01577	10	5	8	3	6
alpha-linolenic acid	DB00132	10	9	0	0	3
methadone	DB00333	10	5	6	1	5
nicotine	DB00184	10	6	3	2	8
lapatinib	DB01259	10	2	6	2	6
cyclizine	DB01176	10	1	0	0	9
oxymetazoline	DB00935	10	4	5	4	10
mitotane	DB00648	10	4	2	1	6
dorzolamide	DB00869	10	4	6	1	8
levodopa	DB01235	10	5	7	1	5
dicyclomine	DB00804	10	1	1	1	10
aminophylline	DB01223	10	3	9	0	0
sulpiride	DB00391	10	4	5	0	9
lindane	DB00431	10	7	0	0	5
nelfinavir	DB00220	10	0	0	0	10
apremilast	DB05676	9	5	7	4	3
clonidine	DB00575	9	4	2	1	8
propiomazine	DB00777	9	9	9	0	6
choline	DB00122	9	9	0	0	0
losartan	DB00678	9	1	1	1	9
dimenhydrinate	DB00985	9	0	0	0	9
protriptyline	DB00344	9	2	3	2	8
metoclopramide	DB01233	9	3	3	1	7
amlexanox	DB01025	9	3	6	4	4
norepinephrine	DB00368	9	7	4	6	8
captopril	DB01197	9	5	1	1	5
palbociclib	DB09073	9	2	7	3	5
heptabarbital	DB01354	9	9	0	0	0
vortioxetine	DB09068	9	4	7	2	7
cyclothiazide	DB00606	9	4	5	1	5
dipivefrin	DB00449	9	5	2	6	0
biotin	DB00121	9	9	0	0	0
varenicline	DB01273	9	5	4	2	7
dextropropoxyphene	DB00647	9	4	6	1	3
brigatinib	DB12267	9	9	4	2	0
diphenidol	DB01231	9	1	2	1	8
tetrahydrofolic acid	DB00116	9	9	0	0	0
pyruvic acid	DB00119	9	8	2	0	0
amantadine	DB00915	9	2	0	7	8
afatinib	DB08916	9	3	2	3	9
haloprogin	DB00793	9	0	0	0	9
niclosamide	DB06803	9	0	0	0	9
flupentixol	DB00875	9	5	4	0	7
hyaluronic acid	DB08818	9	9	0	0	0
ornithine	DB00129	9	9	0	0	0
alitretinoin	DB00523	9	8	7	6	6
phenylpropanolamine	DB00397	9	3	0	0	6
hydroflumethiazide	DB00774	9	8	2	1	1
molindone	DB01618	9	4	2	2	8
prilocaine	DB00750	9	1	9	7	3
amphetamine	DB00182	9	6	5	2	5
indapamide	DB00808	9	1	2	1	8
procyclidine	DB00387	9	1	2	1	8
mepyramine	DB06691	9	0	1	0	8
alendronic acid	DB00630	9	5	7	1	1
methylergometrine	DB00353	9	2	5	2	8
chloroprocaine	DB01161	9	3	1	7	1
butethal	DB01353	9	9	9	0	0
duloxetine	DB00476	9	3	5	2	8
acetazolamide	DB00819	9	7	5	4	8
encainide	DB01228	8	1	2	7	1
fenoldopam	DB00800	8	6	4	1	5
probenecid	DB01032	8	1	3	2	6
chlorphenamine	DB01114	8	3	0	0	8
copanlisib	DB12483	8	2	8	8	0
methazolamide	DB00703	8	4	0	0	8
desloratadine	DB00967	8	0	0	0	8
rufinamide	DB06201	8	1	7	7	7
l-citrulline	DB00155	8	8	0	0	0
sumatriptan	DB00669	8	2	6	1	4
cisplatin	DB00515	8	4	0	0	4
mafenide	DB06795	8	1	1	0	7
triethylenetetramine	DB06824	8	0	0	0	8
diclofenamide	DB01144	8	4	4	4	7
gadobenic acid	DB00743	8	0	8	0	0
minaprine	DB00805	8	8	6	4	2
eslicarbazepine acetate	DB09119	8	1	7	7	7
bezafibrate	DB01393	8	7	1	3	3
acitretin	DB00459	8	7	7	6	2
melperone	DB09224	8	1	0	0	8
tacrine	DB00382	8	3	2	2	7
vilazodone	DB06684	8	1	4	2	8
niflumic acid	DB04552	8	5	5	0	3
isoprenaline	DB01064	8	7	3	2	2
sulfanilamide	DB00259	8	0	0	0	8
estradiol cypionate	DB13954	8	8	1	1	1
phosphatidyl serine	DB00144	8	8	0	0	0
glyburide	DB01016	8	4	4	0	3
oxcarbazepine	DB00776	8	1	8	7	1
dyphylline	DB00651	8	7	6	5	2
zolpidem	DB00425	8	5	4	3	6
phenol	DB03255	8	1	0	0	7
cariprazine	DB06016	8	5	2	2	8
dosulepin	DB09167	8	6	3	0	6
epicept np-1	DB05492	8	8	0	0	0
cediranib	DB04849	8	1	8	6	0
ethotoin	DB00754	8	2	7	7	7
lenalidomide	DB00480	8	4	6	4	2
cycloserine	DB00260	8	0	0	0	8
brinzolamide	DB01194	8	4	4	1	7
memantine	DB01043	8	5	4	7	4
flibanserin	DB04908	8	3	3	0	6
felbamate	DB00949	8	3	8	7	2
estradiol acetate	DB13952	8	8	1	1	1
auranofin	DB00995	8	2	1	0	6
hesperetin	DB01094	8	4	1	0	3
lovastatin	DB00227	8	3	1	1	8
vitamin e	DB00163	8	8	0	0	0
seliciclib	DB06195	8	7	5	5	0
naloxone	DB01183	8	7	4	3	3
pyrithione zinc	DB06815	8	0	0	0	8
meclofenamic acid	DB00939	8	5	4	3	5
polaprezinc	DB09221	8	8	0	0	0
dexibuprofen	DB09213	8	8	0	2	2
dextroamphetamine	DB01576	8	4	4	2	6
metaraminol	DB00610	8	1	6	3	1
ethoxzolamide	DB00311	8	4	8	8	8
mephenytoin	DB00532	8	2	7	7	7
phenacemide	DB01121	7	1	7	7	1
afimoxifene	DB04468	7	7	2	0	0
chlorprothixene	DB01239	7	7	0	0	5
dyclonine	DB00645	7	1	2	7	1
oxybuprocaine	DB00892	7	1	1	7	4
zaleplon	DB00962	7	2	4	3	5
fosphenytoin	DB01320	7	1	1	7	1
ademetionine	DB00118	7	7	0	0	0
zoledronic acid	DB00399	7	2	2	1	6
decamethonium	DB01245	7	3	0	4	5
n-acetylglucosamine	DB00141	7	7	1	0	0
l-phenylalanine	DB00120	7	7	1	0	0
nitric oxide	DB00435	7	3	5	3	3
ibudilast	DB05266	7	5	6	0	4
indecainide	DB00192	7	1	1	7	1
flavoxate	DB01148	7	1	1	5	6
atorvastatin	DB01076	7	3	1	1	5
warfarin	DB00682	7	2	5	1	2
pindolol	DB00960	7	4	5	2	7
fluciclovine (18f)	DB13146	7	7	0	0	0
norfloxacin	DB01059	7	1	1	0	5
l-carnitine	DB00583	7	6	1	0	0
moricizine	DB00680	7	1	1	7	1
benzquinamide	DB00767	7	1	4	1	4
vatalanib	DB04879	7	3	7	7	0
ropivacaine	DB00296	7	1	1	7	7
propoxycaine	DB09342	7	0	0	7	3
sulindac	DB00605	7	6	2	2	3
cns-5161	DB05824	7	1	7	7	0
quinine	DB00468	7	2	1	0	5
droxidopa	DB06262	7	7	5	6	6
doxorubicin	DB00997	7	2	1	1	6
hydrochlorothiazide	DB00999	7	7	1	1	5
l-arginine	DB00125	7	7	0	0	0
melatonin	DB01065	7	6	3	0	3
atropine	DB00572	7	3	2	1	4
tarenflurbil	DB05289	7	1	5	6	0
dapiprazole	DB00298	7	3	3	1	7
benzthiazide	DB00562	7	6	2	1	5
tramadol	DB00193	7	7	0	0	5
digitoxin	DB01396	7	1	6	6	7
bupropion	DB01156	7	3	3	2	6
tromethamine	DB03754	7	6	2	0	0
etizolam	DB09166	7	5	0	0	6
naproxen	DB00788	7	2	7	2	2
dabigatran etexilate	DB06695	7	1	0	1	7
mepivacaine	DB00961	7	1	1	7	6
thioproperazine	DB01622	7	6	0	0	2
ondansetron	DB00904	7	3	0	0	4
mephentermine	DB01365	7	0	2	6	1
acepromazine	DB01614	7	6	2	0	0
potassium	DB01345	7	2	4	0	1
amuvatinib	DB12742	7	6	7	4	0
hexylcaine	DB00473	7	2	2	7	3
tocainide	DB01056	7	1	1	7	7
guanfacine	DB01018	7	1	2	1	6
dinoprostone	DB00917	7	3	6	3	6
zopiclone	DB01198	7	4	4	0	5
bendroflumethiazide	DB00436	7	5	3	1	5
digoxin	DB00390	7	1	6	6	7
pyrazinamide	DB00339	7	0	4	0	3
cyclobenzaprine	DB00924	7	1	1	2	7
phenazopyridine	DB01438	7	1	0	7	7
brexpiprazole	DB09128	7	4	3	3	7
neramexane	DB04926	7	1	3	7	0
saquinavir	DB01232	7	0	0	0	7
treprostinil	DB00374	7	2	6	1	5
amsacrine	DB00276	7	4	1	2	5
guanabenz	DB00629	7	1	1	1	7
nimesulide	DB04743	7	2	3	0	5
diacerein	DB11994	7	5	2	0	0
donepezil	DB00843	7	2	1	1	6
spermine	DB00127	7	6	2	0	0
minocycline	DB01017	7	7	0	0	0
hydroquinone	DB09526	7	0	0	0	7
milrinone	DB00235	7	1	4	1	7
bexarotene	DB00307	7	3	4	3	7
amrinone	DB01427	7	3	3	1	6
tamsulosin	DB00706	7	3	3	3	7
acetyldigitoxin	DB00511	6	1	6	6	6
etoperidone	DB09194	6	4	0	0	3
zuclopenthixol	DB01624	6	6	0	0	4
succinylcholine	DB00202	6	1	3	4	4
tandutinib	DB05465	6	1	6	3	0
acetic acid	DB03166	6	0	4	0	2
primaquine	DB01087	6	2	1	0	3
l-asparagine	DB00174	6	6	0	0	0
phenmetrazine	DB00830	6	2	6	2	2
cinchocaine	DB00527	6	3	2	2	5
remoxipride	DB00409	6	5	1	1	5
norethisterone	DB00717	6	1	2	1	5
pancuronium	DB01337	6	0	1	4	6
doconexent	DB03756	6	6	0	0	0
isradipine	DB00270	6	4	5	3	3
bethanidine	DB00217	6	1	5	1	1
lonafarnib	DB06448	6	2	5	2	0
modafinil	DB00745	6	2	4	1	3
edrophonium	DB01010	6	2	5	1	1
tranylcypromine	DB00752	6	1	3	0	4
bendamustine	DB06769	6	0	0	0	6
rotigotine	DB05271	6	6	6	3	3
adapalene	DB00210	6	6	6	3	3
mercaptopurine	DB01033	6	3	2	1	3
indacaterol	DB05039	6	1	3	1	4
propericiazine	DB01608	6	4	4	0	0
mecamylamine	DB00657	6	3	1	1	5
masoprocol	DB00179	6	2	1	0	5
vecuronium	DB01339	6	0	0	4	6
semaxanib	DB06436	6	1	6	4	0
escitalopram	DB01175	6	5	1	1	5
pipecuronium	DB01338	6	0	0	4	5
terazosin	DB01162	6	4	3	3	6
hydroxyamphetamine	DB09352	6	0	0	6	0
hydralazine	DB01275	6	2	1	0	4
oxybutynin	DB01062	6	1	1	0	6
nitroglycerin	DB00727	6	1	6	3	4
lacidipine	DB09236	6	1	0	0	5
rizatriptan	DB00953	6	1	4	1	4
dexanabinol	DB06444	6	1	5	0	0
folic acid	DB00158	6	3	3	0	1
rabeprazole	DB01129	6	1	4	2	4
creatine	DB00148	6	6	0	0	0
methyclothiazide	DB00232	6	4	3	1	0
agmatine	DB08838	6	6	1	0	0
butenafine	DB01091	6	1	0	0	5
etretinate	DB00926	6	6	6	6	2
tolazoline	DB00797	6	2	4	4	2
ibutilide	DB00308	6	6	4	1	1
tenocyclidine	DB01520	6	6	0	0	0
xanthinol	DB09092	6	6	0	0	0
hydroxocobalamin	DB00200	6	6	0	0	0
gallamine triethiodide	DB00483	6	2	4	0	0
pirfenidone	DB04951	6	1	5	0	0
candesartan cilexetil	DB00796	6	1	2	1	5
pomalidomide	DB08910	6	3	4	4	1
thiocolchicoside	DB11582	6	1	0	0	5
estrone	DB00655	6	4	1	1	4
perospirone	DB08922	6	5	3	0	2
talmapimod	DB05412	6	4	3	1	0
levonorgestrel	DB00367	6	4	2	1	4
alprostadil	DB00770	6	1	4	1	5
doxycycline	DB00254	6	2	2	4	2
debrisoquin	DB04840	6	1	4	1	1
phosphocreatine	DB13191	6	6	0	0	0
cabozantinib	DB08875	6	3	3	2	6
osimertinib	DB09330	6	1	1	4	3
isosorbide dinitrate	DB00883	6	1	6	3	4
deslanoside	DB01078	6	1	6	6	6
hydrocortisone	DB00741	6	3	4	1	1
kappadione	DB09332	6	6	0	0	0
itraconazole	DB01167	6	1	1	0	4
testosterone	DB00624	6	3	1	1	4
bopindolol	DB08807	6	4	0	0	5
triamterene	DB00384	6	4	5	3	4
tadalafil	DB00820	6	0	1	0	5
irinotecan	DB00762	5	2	3	1	3
xylometazoline	DB06694	5	4	0	0	4
sulfinpyrazone	DB01138	5	2	4	1	1
leucovorin	DB00650	5	0	4	0	2
acetylcholine	DB03128	5	3	1	0	3
capsaicin	DB06774	5	2	2	1	3
ketobemidone	DB06738	5	4	0	0	4
fludarabine	DB01073	5	3	5	0	3
ofloxacin	DB01165	5	1	1	0	3
esmolol	DB00187	5	1	4	2	1
fluvoxamine	DB00176	5	2	1	1	4
mmda	DB01442	5	5	0	0	0
bumetanide	DB00887	5	4	3	1	3
methylphenidate	DB00422	5	3	4	2	4
diflunisal	DB00861	5	2	2	2	5
phenylephrine	DB00388	5	3	4	3	4
guanethidine	DB01170	5	1	1	1	5
blonanserin	DB09223	5	3	2	0	4
azathioprine	DB00993	5	2	1	1	2
lithium	DB01356	5	4	0	0	3
hydroxyurea	DB01005	5	1	3	3	4
mefloquine	DB00358	5	2	1	0	3
l-isoleucine	DB00167	5	5	0	0	0
baricitinib	DB11817	5	4	2	2	4
clenbuterol	DB01407	5	4	1	1	3
icosapent ethyl	DB08887	5	0	4	0	1
moclobemide	DB01171	5	1	3	0	3
fluoxymesterone	DB01185	5	5	1	1	1
leflunomide	DB01097	5	3	1	1	3
nitroprusside	DB00325	5	1	2	0	4
andrographolide	DB05767	5	5	0	0	0
cytisine	DB09028	5	5	0	0	0
