DOID	DrugBankID	Palliative/Treatment
DOID:2531	DB08877	treatment
DOID:9352	DB01120	treatment
DOID:1192	DB00523	treatment
DOID:1909	DB00851	treatment
DOID:10763	DB00270	treatment
DOID:10763	DB00226	treatment
DOID:4159	DB08828	treatment
DOID:1192	DB00982	treatment
DOID:9970	DB00937	treatment
DOID:1612	DB01177	treatment
DOID:10763	DB00492	treatment
DOID:3310	DB00635	treatment
DOID:8893	DB00688	treatment
DOID:2841	DB00651	treatment
DOID:11054	DB00305	treatment
DOID:1793	DB00762	treatment
DOID:2994	DB00515	treatment
DOID:2531	DB01177	treatment
DOID:1936	DB00973	treatment
DOID:2841	DB01410	treatment
DOID:635	DB00224	treatment
DOID:3310	DB00864	treatment
DOID:2841	DB00860	treatment
DOID:3393	DB00775	treatment
DOID:2531	DB00352	treatment
DOID:1909	DB08881	treatment
DOID:10534	DB00445	treatment
DOID:10534	DB00563	treatment
DOID:1324	DB00762	treatment
DOID:2531	DB00570	treatment
DOID:2377	DB08868	treatment
DOID:1324	DB00997	treatment
DOID:10763	DB00876	treatment
DOID:1793	DB00445	treatment
DOID:1459	DB01583	treatment
DOID:2531	DB00441	treatment
DOID:9074	DB00250	treatment
DOID:1115	DB01204	treatment
DOID:3393	DB08816	treatment
DOID:1781	DB00398	treatment
DOID:7148	DB00741	treatment
DOID:3310	DB00764	treatment
DOID:10763	DB00178	treatment
DOID:1612	DB00441	treatment
DOID:1909	DB01248	treatment
DOID:1686	DB00964	treatment
DOID:8893	DB00553	treatment
DOID:3310	DB01260	treatment
DOID:2531	DB00997	treatment
DOID:1115	DB00541	treatment
DOID:1459	DB00279	treatment
DOID:635	DB00649	treatment
DOID:5408	DB00630	treatment
DOID:2994	DB00290	treatment
DOID:1612	DB00958	treatment
DOID:0050742	DB01273	treatment
DOID:11934	DB01005	treatment
DOID:13189	DB00328	treatment
DOID:1612	DB08871	treatment
DOID:9352	DB00331	treatment
DOID:10763	DB00691	treatment
DOID:11476	DB00286	treatment
DOID:2531	DB00242	treatment
DOID:11476	DB00884	treatment
DOID:8577	DB00169	treatment
DOID:1319	DB00773	treatment
DOID:1612	DB04572	treatment
DOID:7147	DB00620	treatment
DOID:1192	DB00755	treatment
DOID:11612	DB00331	treatment
DOID:263	DB00997	treatment
DOID:5408	DB01077	treatment
DOID:2841	DB01274	treatment
DOID:2531	DB01008	treatment
DOID:11054	DB00385	treatment
DOID:2841	DB00741	treatment
DOID:3310	DB00620	treatment
DOID:2998	DB00773	treatment
DOID:1686	DB00869	treatment
DOID:1686	DB00195	treatment
DOID:1324	DB00441	treatment
DOID:8893	DB00091	treatment
DOID:3571	DB00445	treatment
DOID:1686	DB00819	treatment
DOID:2174	DB00970	treatment
DOID:1686	DB00905	treatment
DOID:10763	DB00880	treatment
DOID:12930	DB00695	treatment
DOID:3393	DB08860	treatment
DOID:1324	DB00515	treatment
DOID:635	DB00900	treatment
DOID:8893	DB00563	treatment
DOID:4045	DB00773	treatment
DOID:418	DB00635	treatment
DOID:10763	DB00678	treatment
DOID:1793	DB00851	treatment
DOID:10283	DB00445	treatment
DOID:3393	DB00678	treatment
DOID:8893	DB00394	treatment
DOID:10652	DB00989	treatment
DOID:4159	DB00290	treatment
DOID:12361	DB00550	treatment
DOID:2531	DB00762	treatment
DOID:10283	DB00655	treatment
DOID:263	DB00541	treatment
DOID:9206	DB00736	treatment
DOID:1115	DB00970	treatment
DOID:4481	DB00341	treatment
DOID:10763	DB01197	treatment
DOID:2531	DB01042	treatment
DOID:9352	DB01261	treatment
DOID:10763	DB00195	treatment
DOID:7148	DB00959	treatment
DOID:8778	DB01014	treatment
DOID:3070	DB00262	treatment
DOID:363	DB00396	treatment
DOID:1324	DB00773	treatment
DOID:2531	DB00361	treatment
DOID:10534	DB00762	treatment
DOID:3310	DB00741	treatment
DOID:2531	DB01005	treatment
DOID:11476	DB00710	treatment
DOID:14221	DB00331	treatment
DOID:10763	DB00421	treatment
DOID:2531	DB00851	treatment
DOID:2043	DB00718	treatment
DOID:3393	DB00966	treatment
DOID:12365	DB01131	treatment
DOID:1936	DB00227	treatment
DOID:1826	DB00273	treatment
DOID:10534	DB00322	treatment
DOID:4045	DB00851	treatment
DOID:10763	DB00177	treatment
DOID:363	DB00958	treatment
DOID:9008	DB00959	treatment
DOID:2531	DB00773	treatment
DOID:1319	DB00262	treatment
DOID:9352	DB00839	treatment
DOID:1115	DB04572	treatment
DOID:2841	DB00394	treatment
DOID:3083	DB01274	treatment
DOID:2174	DB00958	treatment
DOID:9352	DB01124	treatment
DOID:0060073	DB00262	treatment
DOID:1826	DB00949	treatment
DOID:2998	DB00515	treatment
DOID:8893	DB00591	treatment
DOID:10534	DB00997	treatment
DOID:1826	DB00313	treatment
DOID:9352	DB00672	treatment
DOID:9074	DB01234	treatment
DOID:9352	DB00178	treatment
DOID:4159	DB01248	treatment
DOID:1781	DB00445	treatment
DOID:6364	DB00373	treatment
DOID:7147	DB01234	treatment
DOID:263	DB01590	treatment
DOID:9074	DB00620	treatment
DOID:2841	DB00471	treatment
DOID:10283	DB00773	treatment
DOID:8893	DB01013	treatment
DOID:2841	DB01064	treatment
DOID:10763	DB01162	treatment
DOID:10283	DB00977	treatment
DOID:9074	DB00688	treatment
DOID:14227	DB00882	treatment
DOID:1324	DB01229	treatment
DOID:2841	DB00716	treatment
DOID:1115	DB00773	treatment
DOID:2531	DB01041	treatment
DOID:1793	DB00675	treatment
DOID:9352	DB01200	treatment
DOID:1686	DB00484	treatment
DOID:9352	DB01132	treatment
DOID:1324	DB08865	treatment
DOID:0050741	DB00659	treatment
DOID:2841	DB00277	treatment
DOID:7148	DB00620	treatment
DOID:1319	DB01005	treatment
DOID:2531	DB01168	treatment
DOID:2531	DB00553	treatment
DOID:5041	DB00958	treatment
DOID:11054	DB00441	treatment
DOID:7147	DB00443	treatment
DOID:3310	DB01075	treatment
DOID:12236	DB01586	treatment
DOID:9008	DB00995	treatment
DOID:10763	DB01115	treatment
DOID:2531	DB00620	treatment
DOID:10283	DB00286	treatment
DOID:10763	DB01203	treatment
DOID:3310	DB00959	treatment
DOID:219	DB00762	treatment
DOID:1612	DB01259	treatment
DOID:2841	DB01409	treatment
DOID:2841	DB01222	treatment
DOID:10283	DB05812	treatment
DOID:635	DB00701	treatment
DOID:2043	DB00709	treatment
DOID:11934	DB00570	treatment
DOID:3083	DB01656	treatment
DOID:3310	DB00985	treatment
DOID:3083	DB01409	treatment
DOID:9352	DB00177	treatment
DOID:4045	DB00563	treatment
DOID:12236	DB06777	treatment
DOID:10763	DB00622	treatment
DOID:10763	DB01136	treatment
DOID:1192	DB00997	treatment
DOID:1793	DB00997	treatment
DOID:8778	DB00244	treatment
DOID:1909	DB00970	treatment
DOID:2531	DB00563	treatment
DOID:2841	DB00764	treatment
DOID:9352	DB01029	treatment
DOID:2841	DB01003	treatment
DOID:263	DB00398	treatment
DOID:10763	DB00800	treatment
DOID:4481	DB00620	treatment
DOID:2998	DB00563	treatment
DOID:10763	DB00629	treatment
DOID:263	DB00441	treatment
DOID:10763	DB00774	treatment
DOID:4989	DB00782	treatment
DOID:6364	DB00571	treatment
DOID:11476	DB00630	treatment
DOID:418	DB01024	treatment
DOID:1612	DB01248	treatment
DOID:2531	DB00987	treatment
DOID:2841	DB00938	treatment
DOID:2531	DB01204	treatment
DOID:10763	DB00999	treatment
DOID:8893	DB00620	treatment
DOID:2394	DB00958	treatment
DOID:2531	DB00480	treatment
DOID:10283	DB01204	treatment
DOID:9008	DB00443	treatment
DOID:3393	DB00627	treatment
DOID:9008	DB00563	treatment
DOID:12365	DB00359	treatment
DOID:3393	DB00700	treatment
DOID:1324	DB01248	treatment
DOID:10534	DB00305	treatment
DOID:1612	DB01006	treatment
DOID:2998	DB00958	treatment
DOID:1115	DB00997	treatment
DOID:1612	DB00947	treatment
DOID:2994	DB01181	treatment
DOID:418	DB00563	treatment
DOID:3083	DB00635	treatment
DOID:1793	DB00544	treatment
DOID:1781	DB00997	treatment
DOID:2841	DB00983	treatment
DOID:10763	DB00187	treatment
DOID:12930	DB00421	treatment
DOID:11054	DB00958	treatment
DOID:4481	DB00443	treatment
DOID:11476	DB00977	treatment
DOID:1192	DB00851	treatment
DOID:8893	DB00169	treatment
DOID:2841	DB00959	treatment
DOID:1826	DB00776	treatment
DOID:10283	DB00126	treatment
DOID:8778	DB00795	treatment
DOID:11054	DB00544	treatment
DOID:8893	DB00443	treatment
DOID:2841	DB00180	treatment
DOID:2394	DB00291	treatment
DOID:7147	DB00563	treatment
DOID:11476	DB00258	treatment
DOID:10283	DB01196	treatment
DOID:6364	DB00313	treatment
DOID:7148	DB00153	treatment
DOID:0060073	DB00444	treatment
DOID:8893	DB02300	treatment
DOID:363	DB00970	treatment
DOID:10763	DB00264	treatment
DOID:263	DB06287	treatment
DOID:2998	DB01181	treatment
DOID:2531	DB00552	treatment
DOID:1612	DB01185	treatment
DOID:3393	DB00973	treatment
DOID:0060073	DB00290	treatment
DOID:8893	DB00799	treatment
DOID:0060073	DB00563	treatment
DOID:12930	DB00722	treatment
DOID:2841	DB01001	treatment
DOID:1192	DB00515	treatment
DOID:10283	DB00014	treatment
DOID:1612	DB00539	treatment
DOID:2994	DB00773	treatment
DOID:1793	DB01268	treatment
DOID:10763	DB00436	treatment
DOID:9970	DB01156	treatment
DOID:1826	DB00909	treatment
DOID:1319	DB00958	treatment
DOID:3393	DB00275	treatment
DOID:2841	DB01234	treatment
DOID:1115	DB00445	treatment
DOID:1312	DB00091	treatment
DOID:263	DB01229	treatment
DOID:10763	DB00575	treatment
DOID:2531	DB02546	treatment
DOID:1686	DB00449	treatment
DOID:2531	DB00291	treatment
DOID:1612	DB00544	treatment
DOID:2531	DB00445	treatment
DOID:10763	DB00594	treatment
DOID:7148	DB00443	treatment
DOID:1612	DB00361	treatment
DOID:10763	DB00881	treatment
DOID:8577	DB00635	treatment
DOID:635	DB00503	treatment
DOID:12365	DB01190	treatment
DOID:3393	DB00519	treatment
DOID:10763	DB00968	treatment
DOID:10763	DB00310	treatment
DOID:11054	DB00515	treatment
DOID:1319	DB01206	treatment
DOID:1612	DB00675	treatment
DOID:10283	DB01101	treatment
DOID:418	DB00764	treatment
DOID:9074	DB00635	treatment
DOID:1612	DB01042	treatment
DOID:4159	DB00851	treatment
DOID:1612	DB01217	treatment
DOID:7147	DB00795	treatment
DOID:10763	DB01076	treatment
DOID:12365	DB01346	treatment
DOID:3083	DB01001	treatment
DOID:7148	DB01097	treatment
DOID:10763	DB00350	treatment
DOID:2531	DB00290	treatment
DOID:1781	DB05294	treatment
DOID:2841	DB00549	treatment
DOID:2531	DB01254	treatment
DOID:11054	DB00563	treatment
DOID:9970	DB01105	treatment
DOID:4159	DB00853	treatment
DOID:1826	DB00347	treatment
DOID:9352	DB00678	treatment
DOID:2841	DB00920	treatment
DOID:2531	DB00188	treatment
DOID:10763	DB00661	treatment
DOID:1686	DB00703	treatment
DOID:8577	DB01222	treatment
DOID:1686	DB00575	treatment
DOID:5408	DB00884	treatment
DOID:10763	DB00584	treatment
DOID:11476	DB04574	treatment
DOID:4481	DB00959	treatment
DOID:11714	DB01016	treatment
DOID:9008	DB00620	treatment
DOID:8577	DB01250	treatment
DOID:635	DB00220	treatment
DOID:1324	DB00444	treatment
DOID:12365	DB00468	treatment
DOID:1115	DB00851	treatment
DOID:3393	DB00695	treatment
DOID:10652	DB00674	treatment
DOID:11934	DB00544	treatment
DOID:8893	DB01234	treatment
DOID:3310	DB00337	treatment
DOID:3310	DB00860	treatment
DOID:2841	DB05039	treatment
DOID:2043	DB00442	treatment
DOID:2998	DB00291	treatment
DOID:9970	DB00865	treatment
DOID:7148	DB00563	treatment
DOID:3277	DB00104	treatment
DOID:1612	DB04845	treatment
DOID:3393	DB01039	treatment
DOID:12365	DB00908	treatment
DOID:2377	DB00443	treatment
DOID:1324	DB00570	treatment
DOID:10283	DB06699	treatment
DOID:9352	DB01016	treatment
DOID:3393	DB01076	treatment
DOID:0060073	DB01073	treatment
DOID:3083	DB00983	treatment
DOID:1793	DB00530	treatment
DOID:1686	DB00287	treatment
DOID:10763	DB00519	treatment
DOID:9970	DB01083	treatment
DOID:1826	DB06218	treatment
DOID:3393	DB00722	treatment
DOID:4481	DB00434	treatment
DOID:0060073	DB00541	treatment
DOID:8893	DB01047	treatment
DOID:8893	DB01024	treatment
DOID:1909	DB00262	treatment
DOID:1612	DB00997	treatment
DOID:1936	DB01098	treatment
DOID:13189	DB00437	treatment
DOID:3393	DB00227	treatment
DOID:10763	DB04861	treatment
DOID:2531	DB00307	treatment
DOID:263	DB06589	treatment
DOID:1612	DB00762	treatment
DOID:9352	DB00284	treatment
DOID:11476	DB00481	treatment
DOID:184	DB00958	treatment
DOID:1459	DB00451	treatment
DOID:418	DB01097	treatment
DOID:9074	DB00993	treatment
DOID:635	DB01601	treatment
DOID:7147	DB00860	treatment
DOID:3393	DB01197	treatment
DOID:1024	DB00250	treatment
DOID:1826	DB01080	treatment
DOID:3393	DB01359	treatment
DOID:1826	DB00349	treatment
DOID:1936	DB00641	treatment
DOID:2998	DB00445	treatment
DOID:2994	DB00970	treatment
DOID:363	DB00773	treatment
DOID:8893	DB00741	treatment
DOID:1909	DB00853	treatment
DOID:184	DB00563	treatment
DOID:635	DB00705	treatment
DOID:2394	DB00997	treatment
DOID:1686	DB01144	treatment
DOID:1686	DB01210	treatment
DOID:9074	DB00741	treatment
DOID:4159	DB00970	treatment
DOID:12365	DB00254	treatment
DOID:10652	DB01043	treatment
DOID:3310	DB01234	treatment
DOID:3393	DB01241	treatment
DOID:8577	DB01014	treatment
DOID:263	DB00570	treatment
DOID:635	DB01048	treatment
DOID:635	DB00495	treatment
DOID:3083	DB01223	treatment
DOID:9352	DB01067	treatment
DOID:2841	DB01223	treatment
DOID:9352	DB00412	treatment
DOID:9008	DB00860	treatment
DOID:1826	DB01174	treatment
DOID:2841	DB00455	treatment
DOID:9074	DB01097	treatment
DOID:2841	DB05389	treatment
DOID:7148	DB00091	treatment
DOID:2531	DB01234	treatment
DOID:2841	DB01291	treatment
DOID:2531	DB01073	treatment
DOID:0060073	DB00888	treatment
DOID:2531	DB01206	treatment
DOID:9352	DB00731	treatment
DOID:13189	DB00635	treatment
DOID:13189	DB01032	treatment
DOID:10763	DB00384	treatment
DOID:3083	DB00471	treatment
DOID:10652	DB00843	treatment
DOID:12236	DB01394	treatment
DOID:1826	DB06201	treatment
DOID:10763	DB00457	treatment
DOID:9970	DB01577	treatment
DOID:1324	DB00317	treatment
DOID:3393	DB00945	treatment
DOID:11054	DB00773	treatment
DOID:6364	DB00321	treatment
DOID:2531	DB00619	treatment
DOID:2841	DB00588	treatment
DOID:8893	DB00136	treatment
DOID:418	DB00722	treatment
DOID:3393	DB00584	treatment
DOID:8893	DB00635	treatment
DOID:11054	DB04572	treatment
DOID:1612	DB00990	treatment
DOID:9970	DB00397	treatment
DOID:4045	DB00541	treatment
DOID:13189	DB00788	treatment
DOID:8577	DB00860	treatment
DOID:11476	DB00136	treatment
DOID:8577	DB01033	treatment
DOID:10763	DB00343	treatment
DOID:10283	DB00997	treatment
DOID:1686	DB01085	treatment
DOID:3393	DB00790	treatment
DOID:10763	DB00722	treatment
DOID:1024	DB01041	treatment
DOID:2377	DB00993	treatment
DOID:3393	DB00178	treatment
DOID:7148	DB01234	treatment
DOID:1192	DB00445	treatment
DOID:2994	DB00563	treatment
DOID:10763	DB00571	treatment
DOID:1793	DB01248	treatment
DOID:2394	DB01248	treatment
DOID:10283	DB01248	treatment
DOID:363	DB00445	treatment
DOID:9074	DB00443	treatment
DOID:0060073	DB00987	treatment
DOID:10763	DB00542	treatment
DOID:1612	DB00014	treatment
DOID:10283	DB01128	treatment
DOID:1686	DB00373	treatment
DOID:2531	DB01033	treatment
DOID:219	DB01101	treatment
DOID:11476	DB01077	treatment
DOID:11934	DB01248	treatment
DOID:2531	DB00523	treatment
DOID:7148	DB00995	treatment
DOID:7147	DB00635	treatment
DOID:10763	DB00796	treatment
DOID:3571	DB00398	treatment
DOID:2377	DB00635	treatment
DOID:9352	DB08882	treatment
DOID:11054	DB00997	treatment
DOID:12365	DB06697	treatment
DOID:4362	DB01030	treatment
DOID:12365	DB00806	treatment
DOID:1826	DB00819	treatment
DOID:332	DB00740	treatment
DOID:1826	DB00683	treatment
DOID:12306	DB00553	treatment
DOID:2394	DB01030	treatment
DOID:10283	DB06772	treatment
DOID:9352	DB01083	treatment
DOID:10763	DB00790	treatment
DOID:11476	DB00153	treatment
DOID:184	DB00515	treatment
DOID:10763	DB00966	treatment
DOID:10763	DB00903	treatment
DOID:635	DB00709	treatment
DOID:1826	DB00818	treatment
DOID:1324	DB00361	treatment
DOID:8893	DB00459	treatment
DOID:4481	DB01234	treatment
DOID:1686	DB00411	treatment
DOID:2841	DB00221	treatment
DOID:418	DB00806	treatment
DOID:2531	DB00262	treatment
DOID:9074	DB00959	treatment
DOID:10763	DB00590	treatment
DOID:1612	DB01229	treatment
DOID:1459	DB00509	treatment
DOID:219	DB00563	treatment
DOID:263	DB00530	treatment
DOID:8778	DB00993	treatment
DOID:10763	DB01018	treatment
DOID:2394	DB01042	treatment
DOID:1826	DB00996	treatment
DOID:2841	DB00620	treatment
DOID:585	DB00999	treatment
DOID:2841	DB00744	treatment
DOID:10763	DB00524	treatment
DOID:13189	DB00741	treatment
DOID:263	DB01268	treatment
DOID:635	DB00238	treatment
DOID:7148	DB00795	treatment
DOID:2394	DB01229	treatment
DOID:10763	DB00700	treatment
DOID:10763	DB00373	treatment
DOID:7148	DB00859	treatment
DOID:13189	DB00860	treatment
DOID:6364	DB00273	treatment
DOID:4159	DB00724	treatment
DOID:5041	DB00515	treatment
DOID:2531	DB04868	treatment
DOID:1192	DB00970	treatment
DOID:1686	DB01194	treatment
DOID:8577	DB00443	treatment
DOID:1936	DB00175	treatment
DOID:1612	DB00570	treatment
DOID:2998	DB00997	treatment
DOID:635	DB00625	treatment
DOID:8778	DB00635	treatment
DOID:8577	DB00184	treatment
DOID:0050741	DB00704	treatment
DOID:13189	DB00959	treatment
DOID:2841	DB00871	treatment
DOID:3393	DB00373	treatment
DOID:5041	DB00563	treatment
DOID:10763	DB00214	treatment
DOID:10763	DB00275	treatment
DOID:4481	DB00768	treatment
DOID:1936	DB00627	treatment
DOID:7148	DB00860	treatment
DOID:1686	DB00981	treatment
DOID:9074	DB00860	treatment
DOID:9970	DB01579	treatment
DOID:1826	DB00230	treatment
DOID:9352	DB00912	treatment
DOID:3310	DB00443	treatment
DOID:1686	DB01214	treatment
DOID:1612	DB00481	treatment
DOID:3393	DB00758	treatment
DOID:1192	DB01030	treatment
DOID:8893	DB01005	treatment
DOID:13378	DB00945	treatment
DOID:2377	DB00242	treatment
DOID:4045	DB00997	treatment
DOID:7148	DB00993	treatment
DOID:2377	DB00620	treatment
DOID:5408	DB01133	treatment
DOID:8577	DB01234	treatment
DOID:0060073	DB01204	treatment
DOID:3393	DB00175	treatment
DOID:2531	DB00515	treatment
DOID:10763	DB00598	treatment
DOID:8577	DB00959	treatment
DOID:2394	DB00445	treatment
DOID:1826	DB00794	treatment
DOID:9970	DB00273	treatment
DOID:10283	DB00499	treatment
DOID:2531	DB04572	treatment
DOID:11476	DB00282	treatment
DOID:10283	DB08866	treatment
DOID:1192	DB00541	treatment
DOID:10763	DB00887	treatment
DOID:2998	DB00970	treatment
DOID:9008	DB00635	treatment
DOID:2394	DB00361	treatment
DOID:1826	DB00564	treatment
DOID:4481	DB00967	treatment
DOID:10763	DB00695	treatment
DOID:5408	DB00399	treatment
DOID:8577	DB00741	treatment
DOID:986	DB00620	treatment
DOID:6364	DB00996	treatment
DOID:1319	DB00853	treatment
DOID:2841	DB00332	treatment
DOID:4989	DB00424	treatment
DOID:4481	DB00455	treatment
DOID:1826	DB00829	treatment
DOID:1612	DB00445	treatment
DOID:0050741	DB00822	treatment
DOID:8778	DB01033	treatment
DOID:10534	DB01248	treatment
DOID:4481	DB00180	treatment
DOID:1826	DB00252	treatment
DOID:3571	DB00997	treatment
DOID:1192	DB01042	treatment
DOID:2377	DB00959	treatment
DOID:1826	DB01351	treatment
DOID:10763	DB01193	treatment
DOID:2841	DB00443	treatment
DOID:10763	DB00381	treatment
DOID:10763	DB00657	treatment
DOID:2994	DB00570	treatment
DOID:10763	DB01359	treatment
DOID:184	DB00445	treatment
DOID:2841	DB08906	treatment
DOID:219	DB00541	treatment
DOID:2531	DB00694	treatment
DOID:4481	DB00471	treatment
DOID:7148	DB00635	treatment
DOID:4159	DB00544	treatment
DOID:2377	DB00860	treatment
DOID:11054	DB00445	treatment
DOID:2377	DB01234	treatment
DOID:1319	DB01168	treatment
DOID:5408	DB00282	treatment
DOID:11476	DB00783	treatment
DOID:2841	DB00816	treatment
DOID:8893	DB00860	treatment
DOID:2043	DB01265	treatment
DOID:1324	DB01030	treatment
DOID:5041	DB01101	treatment
DOID:363	DB00603	treatment
DOID:3312	DB01175	palliative
DOID:7148	DB00321	palliative
DOID:594	DB00176	palliative
DOID:10652	DB01037	palliative
DOID:9074	DB00945	palliative
DOID:11119	DB01100	palliative
DOID:7147	DB00328	palliative
DOID:3083	DB00218	palliative
DOID:14330	DB00989	palliative
DOID:418	DB00203	palliative
DOID:8398	DB00500	palliative
DOID:12849	DB01224	palliative
DOID:5419	DB01104	palliative
DOID:9074	DB00996	palliative
DOID:1595	DB01175	palliative
DOID:4989	DB00104	palliative
DOID:263	DB00741	palliative
DOID:5419	DB01267	palliative
DOID:14330	DB01068	palliative
DOID:14330	DB01200	palliative
DOID:10763	DB00692	palliative
DOID:2377	DB00402	palliative
DOID:14330	DB00810	palliative
DOID:5419	DB01063	palliative
DOID:1094	DB01255	palliative
DOID:1595	DB00215	palliative
DOID:9074	DB00230	palliative
DOID:7148	DB00500	palliative
DOID:14330	DB00980	palliative
DOID:3393	DB00281	palliative
DOID:594	DB00404	palliative
DOID:5419	DB00402	palliative
DOID:4481	DB01001	palliative
DOID:5419	DB00985	palliative
DOID:3312	DB01224	palliative
DOID:594	DB00829	palliative
DOID:1094	DB00540	palliative
DOID:1595	DB01149	palliative
DOID:8398	DB00554	palliative
DOID:0050156	DB00860	palliative
DOID:784	DB00169	palliative
DOID:1595	DB01037	palliative
DOID:1094	DB01156	palliative
DOID:11119	DB00334	palliative
DOID:1319	DB00443	palliative
DOID:8398	DB00482	palliative
DOID:3083	DB00537	palliative
DOID:1686	DB00742	palliative
DOID:418	DB01166	palliative
DOID:10283	DB00813	palliative
DOID:12995	DB00477	palliative
DOID:594	DB00715	palliative
DOID:784	DB00214	palliative
DOID:1094	DB00458	palliative
DOID:8398	DB00924	palliative
DOID:14330	DB00915	palliative
DOID:5419	DB01356	palliative
DOID:3312	DB00246	palliative
DOID:418	DB01115	palliative
DOID:8398	DB01009	palliative
DOID:7148	DB00554	palliative
DOID:219	DB00673	palliative
DOID:10652	DB00245	palliative
DOID:8778	DB00572	palliative
DOID:1612	DB00443	palliative
DOID:1612	DB00977	palliative
DOID:2377	DB00514	palliative
DOID:5041	DB00736	palliative
DOID:12849	DB00289	palliative
DOID:3312	DB00273	palliative
DOID:3393	DB00727	palliative
DOID:3312	DB00776	palliative
DOID:7148	DB00945	palliative
DOID:594	DB01156	palliative
DOID:594	DB00472	palliative
DOID:594	DB00334	palliative
DOID:6364	DB00788	palliative
DOID:9074	DB00482	palliative
DOID:6364	DB00241	palliative
DOID:784	DB00903	palliative
DOID:3083	DB01165	palliative
DOID:10283	DB00736	palliative
DOID:6364	DB00315	palliative
DOID:8398	DB00281	palliative
DOID:6364	DB00316	palliative
DOID:12995	DB00734	palliative
DOID:3312	DB00555	palliative
DOID:5419	DB00363	palliative
DOID:11612	DB00977	palliative
DOID:1612	DB00433	palliative
DOID:14330	DB01043	palliative
DOID:3312	DB00477	palliative
DOID:8398	DB00635	palliative
DOID:2377	DB01219	palliative
DOID:7148	DB00461	palliative
DOID:8893	DB01397	palliative
DOID:6364	DB00353	palliative
DOID:219	DB00443	palliative
DOID:263	DB00736	palliative
DOID:1094	DB00289	palliative
DOID:5419	DB00656	palliative
DOID:1595	DB00313	palliative
DOID:784	DB01012	palliative
DOID:1612	DB00673	palliative
DOID:3083	DB01137	palliative
DOID:8398	DB00712	palliative
DOID:418	DB00814	palliative
DOID:3312	DB00476	palliative
DOID:11612	DB00367	palliative
DOID:7148	DB00586	palliative
DOID:1094	DB00422	palliative
DOID:14330	DB00245	palliative
DOID:11934	DB01085	palliative
DOID:2377	DB00776	palliative
DOID:0050425	DB00193	palliative
DOID:1612	DB00351	palliative
DOID:219	DB00482	palliative
DOID:1094	DB01018	palliative
DOID:1595	DB06684	palliative
DOID:3312	DB00715	palliative
DOID:5041	DB00707	palliative
