Drug name	DrugBankID	# genes in drugbank and network	# genes in drug DBs and network	# genes in network	# genes in total
talbutal	DB00306	9	15	15	20
biotin	DB00121	9	9	10	12
tamoxifen	DB00675	9	41	45	53
brigatinib	DB12267	9	9	9	9
tetrahydrofolic acid	DB00116	9	9	9	11
valproic acid	DB00313	9	12	12	14
progesterone	DB00396	9	13	87	107
caffeine	DB00201	9	13	27	34
hyaluronic acid	DB08818	9	9	19	31
alpha-linolenic acid	DB00132	9	10	16	20
ornithine	DB00129	9	9	20	31
sulfasalazine	DB00795	9	16	16	17
promazine	DB00420	9	20	20	29
cladribine	DB00242	9	11	12	12
metharbital	DB00463	9	17	17	23
hexobarbital	DB01355	9	11	11	12
butethal	DB01353	9	9	9	10
estradiol	DB00783	9	20	160	198
butalbital	DB00241	9	15	15	20
amiloride	DB00594	8	13	19	25
cocaine	DB00907	8	17	134	173
estradiol valerate	DB13956	8	13	13	15
pipamperone	DB09286	8	13	13	17
miconazole	DB01110	8	36	36	53
l-citrulline	DB00155	8	8	8	13
pyruvic acid	DB00119	8	9	9	13
minaprine	DB00805	8	8	8	9
estradiol benzoate	DB13953	8	13	13	16
iloperidone	DB04946	8	18	18	26
estradiol cypionate	DB13954	8	8	8	10
phosphatidyl serine	DB00144	8	8	11	13
ibuprofen	DB01050	8	13	13	15
sertindole	DB06144	8	17	17	25
yohimbine	DB01392	8	23	23	31
alitretinoin	DB00523	8	9	9	10
sunitinib	DB01268	8	39	39	39
epicept np-1	DB05492	8	8	8	12
lenvatinib	DB09078	8	12	12	12
hydroflumethiazide	DB00774	8	9	9	9
estradiol acetate	DB13952	8	8	8	10
nimodipine	DB00393	8	12	12	16
vitamin e	DB00163	8	8	25	29
flunitrazepam	DB01544	8	12	12	17
polaprezinc	DB09221	8	8	8	8
dexibuprofen	DB09213	8	8	8	8
afimoxifene	DB04468	7	7	7	7
chlorprothixene	DB01239	7	7	7	12
ademetionine	DB00118	7	7	7	8
norepinephrine	DB00368	7	9	46	62
n-acetylglucosamine	DB00141	7	7	59	95
phenobarbital	DB01174	7	18	22	24
l-phenylalanine	DB00120	7	7	15	18
mibefradil	DB01388	7	13	13	20
bezafibrate	DB01393	7	8	8	8
fluciclovine (18f)	DB13146	7	7	7	8
acitretin	DB00459	7	8	8	8
nifedipine	DB01115	7	21	21	29
spironolactone	DB00421	7	10	10	12
isoprenaline	DB01064	7	8	8	9
rosiglitazone	DB00412	7	11	11	14
dyphylline	DB00651	7	8	8	9
droxidopa	DB06262	7	7	7	10
hydrochlorothiazide	DB00999	7	7	7	7
l-arginine	DB00125	7	7	19	27
tramadol	DB00193	7	7	7	8
indomethacin	DB00328	7	11	13	17
topiramate	DB00273	7	35	35	47
amlodipine	DB00381	7	13	13	19
diclofenac	DB00586	7	12	15	15
bepridil	DB01244	7	28	28	46
lindane	DB00431	7	10	10	13
seliciclib	DB06195	7	8	8	8
naloxone	DB01183	7	8	8	9
minocycline	DB01017	7	7	7	7
imatinib	DB00619	7	36	36	40
acetazolamide	DB00819	7	9	10	14
zuclopenthixol	DB01624	6	6	6	7
quinidine	DB00908	6	16	17	27
trazodone	DB00656	6	16	16	22
fenoldopam	DB00800	6	8	8	10
trifluoperazine	DB00831	6	17	17	22
clomipramine	DB01242	6	15	15	24
l-asparagine	DB00174	6	6	8	10
doconexent	DB03756	6	6	6	7
phenoxybenzamine	DB00925	6	10	10	12
orphenadrine	DB01173	6	22	22	33
docetaxel	DB01248	6	22	22	23
methoxyflurane	DB01028	6	16	16	23
iloprost	DB01088	6	11	11	15
rotigotine	DB05271	6	6	6	7
mesalazine	DB00244	6	11	11	12
paclitaxel	DB01229	6	24	26	28
adapalene	DB00210	6	6	6	7
l-carnitine	DB00583	6	7	8	12
carfilzomib	DB08889	6	37	37	38
sulindac	DB00605	6	7	8	10
cinnarizine	DB00568	6	21	21	30
haloperidol	DB00502	6	28	28	37
melatonin	DB01065	6	7	11	14
sevoflurane	DB01236	6	19	19	29
benzthiazide	DB00562	6	7	7	7
midostaurin	DB06595	6	18	18	18
maprotiline	DB00934	6	16	16	27
dosulepin	DB09167	6	8	8	15
methysergide	DB00247	6	14	14	23
nicotine	DB00184	6	10	40	64
tromethamine	DB03754	6	7	7	9
creatine	DB00148	6	6	120	138
thioproperazine	DB01622	6	7	7	7
agmatine	DB08838	6	6	9	11
acepromazine	DB01614	6	7	7	7
amuvatinib	DB12742	6	7	7	7
etretinate	DB00926	6	6	6	6
ibutilide	DB00308	6	6	6	10
tenocyclidine	DB01520	6	6	6	6
amphetamine	DB00182	6	9	83	107
xanthinol	DB09092	6	6	6	6
zotepine	DB09225	6	21	21	32
hydroxocobalamin	DB00200	6	6	7	10
isoflurane	DB00753	6	19	19	31
lidocaine	DB00281	6	12	13	16
fluphenazine	DB00623	6	32	32	43
gabapentin	DB00996	6	21	21	33
spermine	DB00127	6	7	13	18
loperamide	DB00836	6	21	21	25
phosphocreatine	DB13191	6	6	7	7
kappadione	DB09332	6	6	6	7
thioridazine	DB00679	6	28	28	39
apremilast	DB05676	5	9	9	11
mmda	DB01442	5	5	5	8
remoxipride	DB00409	5	6	6	6
vorinostat	DB02546	5	13	13	13
phenytoin	DB00252	5	11	11	15
captopril	DB01197	5	9	9	9
l-isoleucine	DB00167	5	5	5	5
acetaminophen	DB00316	5	14	14	17
dipivefrin	DB00449	5	9	9	12
ibudilast	DB05266	5	7	7	8
nitrendipine	DB01054	5	12	12	16
varenicline	DB01273	5	9	9	10
fluoxymesterone	DB01185	5	5	5	5
desflurane	DB01189	5	19	19	29
andrographolide	DB05767	5	5	5	5
cytisine	DB09028	5	5	5	5
dipyridamole	DB00975	5	20	21	29
ketazolam	DB01587	5	5	5	6
meprobamate	DB00371	5	13	13	18
gestrinone	DB11619	5	5	5	6
thalidomide	DB01041	5	10	10	10
quinethazone	DB01325	5	5	5	5
niflumic acid	DB04552	5	8	9	14
enflurane	DB00228	5	21	21	31
escitalopram	DB01175	5	6	6	9
methamphetamine	DB01577	5	10	10	18
magnesium sulfate	DB00653	5	5	5	6
prazosin	DB00457	5	12	13	18
zolpidem	DB00425	5	8	8	8
cariprazine	DB06016	5	8	8	10
romidepsin	DB06176	5	14	14	14
oxtriphylline	DB01303	5	11	11	12
flupentixol	DB00875	5	9	9	10
trichlormethiazide	DB01021	5	11	11	15
l-leucine	DB00149	5	5	9	12
methadone	DB00333	5	10	10	13
dexamethasone	DB01234	5	11	56	65
dabrafenib	DB08912	5	5	5	5
tapentadol	DB06204	5	5	5	6
etizolam	DB09166	5	7	7	8
ganaxolone	DB05087	5	11	11	16
nafamostat	DB12598	5	12	12	14
diazoxide	DB01119	5	5	6	10
promethazine	DB01069	5	19	19	28
amiodarone	DB01118	5	28	28	39
memantine	DB01043	5	8	9	10
levodopa	DB01235	5	10	23	25
bendroflumethiazide	DB00436	5	7	7	8
enprofylline	DB00824	5	5	5	6
manganese	DB06757	5	5	182	235
perospirone	DB08922	5	6	6	7
sucralfate	DB00364	5	5	5	6
vandetanib	DB05294	5	46	46	47
meclofenamic acid	DB00939	5	8	8	8
alendronic acid	DB00630	5	9	9	10
diacerein	DB11994	5	7	7	10
disopyramide	DB00280	5	11	11	19
pentoxifylline	DB00806	5	22	22	30
pipotiazine	DB01621	4	4	4	4
etoperidone	DB09194	4	6	6	9
phenelzine	DB00780	4	10	10	13
golotimod	DB05475	4	4	4	4
xylometazoline	DB06694	4	5	5	8
clonidine	DB00575	4	9	9	12
ketobemidone	DB06738	4	5	5	5
celecoxib	DB00482	4	18	18	25
penbutolol	DB01359	4	4	4	4
tofacitinib	DB08895	4	12	12	12
fenfluramine	DB00574	4	14	15	23
bumetanide	DB00887	4	5	5	9
guanidine	DB00536	4	29	30	47
dotarizine	DB06446	4	4	4	4
pracinostat	DB05223	4	11	11	11
balsalazide	DB01014	4	4	4	4
pimozide	DB01100	4	19	19	29
carbamazepine	DB00564	4	16	16	22
methazolamide	DB00703	4	8	8	12
lithium	DB01356	4	5	28	32
tazarotene	DB00799	4	4	5	7
isradipine	DB00270	4	6	6	10
cisplatin	DB00515	4	8	30	36
procaine	DB00721	4	16	16	23
fenofibrate	DB01039	4	10	10	11
estramustine	DB01196	4	4	4	7
vortioxetine	DB09068	4	9	9	16
cyclothiazide	DB00606	4	9	9	10
baricitinib	DB11817	4	5	5	5
clenbuterol	DB01407	4	5	5	6
dextropropoxyphene	DB00647	4	9	9	9
tofisopam	DB08811	4	4	4	4
diclofenamide	DB01144	4	8	8	12
triclosan	DB08604	4	4	4	5
nilvadipine	DB06712	4	4	4	6
lormetazepam	DB13872	4	4	4	5
pindolol	DB00960	4	7	8	11
butabarbital	DB00237	4	15	15	20
dihydromorphine	DB01565	4	4	4	5
diprenorphine	DB01548	4	4	4	4
doxazosin	DB00590	4	11	11	14
ribavirin	DB00811	4	5	5	6
oxybenzone	DB01428	4	4	4	4
propericiazine	DB01608	4	6	6	6
methionine	DB00134	4	4	153	191
atomoxetine	DB00289	4	5	5	6
pasireotide	DB06663	4	4	4	4
pemetrexed	DB00642	4	4	4	4
alfuzosin	DB00346	4	4	4	4
pioglitazone	DB01132	4	5	5	7
chlorothiazide	DB00880	4	5	5	5
etacrynic acid	DB00903	4	5	5	5
glyburide	DB01016	4	8	8	12
raloxifene	DB00481	4	25	25	30
terazosin	DB01162	4	6	6	11
oxycodone	DB00497	4	4	4	4
talampanel	DB04982	4	5	5	5
roflumilast	DB01656	4	4	4	4
morphine	DB00295	4	4	37	46
eszopiclone	DB00402	4	12	12	17
heroin	DB01452	4	4	10	12
crisaborole	DB05219	4	5	5	6
propranolol	DB00571	4	11	11	18
danazol	DB01406	4	14	14	19
lenalidomide	DB00480	4	8	8	8
oxymetazoline	DB00935	4	10	10	16
sodium carbonate	DB09460	4	4	4	4
phentolamine	DB00692	4	14	14	18
methyclothiazide	DB00232	4	6	6	6
vinblastine	DB00570	4	17	17	19
nisoldipine	DB00401	4	11	11	14
brinzolamide	DB01194	4	8	8	12
tetrodotoxin	DB05232	4	4	6	8
mitotane	DB00648	4	10	10	11
fluticasone propionate	DB00588	4	4	4	4
triflusal	DB08814	4	4	4	5
dorzolamide	DB00869	4	10	10	14
tg-100801	DB05075	4	18	18	18
2-methoxyestradiol	DB02342	4	5	5	6
molindone	DB01618	4	9	9	14
phenolphthalein	DB04824	4	5	5	7
fenoprofen	DB00573	4	4	4	5
cyanocobalamin	DB00115	4	4	5	8
lorpiprazole	DB09195	4	4	4	6
paroxetine	DB00715	4	15	15	20
fluoxetine	DB00472	4	17	17	27
cyclosporine	DB00091	4	11	11	14
l-tyrosine	DB00135	4	4	6	6
zopiclone	DB01198	4	7	7	10
mifepristone	DB00834	4	13	13	14
hesperetin	DB01094	4	8	8	9
sulpiride	DB00391	4	10	10	13
olopatadine	DB00768	4	4	4	6
ketoconazole	DB01026	4	13	13	19
estrone	DB00655	4	6	15	28
talmapimod	DB05412	4	6	6	6
fenofibric acid	DB13873	4	5	5	5
brexpiprazole	DB09128	4	7	7	11
propafenone	DB01182	4	21	21	28
levonorgestrel	DB00367	4	6	6	7
eletriptan	DB00216	4	4	4	7
amsacrine	DB00276	4	7	7	11
triflupromazine	DB00508	4	5	5	7
propofol	DB00818	4	22	22	27
bopindolol	DB08807	4	6	6	8
dextroamphetamine	DB01576	4	8	8	12
triamterene	DB00384	4	6	6	7
lurasidone	DB08815	4	5	5	7
ethoxzolamide	DB00311	4	8	8	12
acetophenazine	DB01063	3	3	3	3
procainamide	DB01035	3	12	13	19
citalopram	DB00215	3	11	11	14
midodrine	DB00211	3	3	3	3
lucanthone	DB04967	3	4	4	4
ezogabine	DB04953	3	3	3	5
dihydroergotamine	DB00320	3	15	15	20
rifampicin	DB01045	3	4	4	7
tegaserod	DB01079	3	4	4	8
acetylcholine	DB03128	3	5	65	94
fludarabine	DB01073	3	5	5	5
calcitriol	DB00136	3	3	5	10
sodium ferric gluconate complex	DB09517	3	3	3	3
sibutramine	DB01105	3	3	3	6
oxygen	DB09140	3	3	295	370
aurothioglucose	DB09121	3	4	4	5
metoclopramide	DB01233	3	9	9	16
amlexanox	DB01025	3	9	9	10
eluxadoline	DB09272	3	3	3	3
vintafolide	DB05168	3	3	3	3
norgestimate	DB00957	3	3	3	3
methylphenidate	DB00422	3	5	5	8
cinchocaine	DB00527	3	6	6	6
chenodeoxycholic acid	DB06777	3	4	5	9
midomafetamine	DB01454	3	3	3	4
decamethonium	DB01245	3	7	7	11
norelgestromin	DB06713	3	4	4	4
chlorphenamine	DB01114	3	8	8	10
propoxyphene napsylate	DB09396	3	3	3	3
arotinolol	DB09204	3	3	3	3
phenylephrine	DB00388	3	5	6	8
methoxamine	DB00723	3	3	3	4
blonanserin	DB09223	3	5	5	5
buprenorphine	DB00921	3	4	4	5
amisulpride	DB06288	3	10	10	21
dicoumarol	DB00266	3	3	3	3
butorphanol	DB00611	3	3	3	3
glucosamine	DB01296	3	3	17	30
etodolac	DB00749	3	4	4	4
ephedrine	DB01364	3	4	4	5
carfentanil	DB01535	3	3	3	3
carisoprodol	DB00395	3	3	3	4
nitric oxide	DB00435	3	7	147	165
liothyronine	DB00279	3	15	15	20
leflunomide	DB01097	3	5	5	6
bevantolol	DB01295	3	3	3	3
rhein	DB13174	3	3	3	3
atorvastatin	DB01076	3	7	7	7
labetalol	DB00598	3	12	12	16
roxadustat	DB04847	3	3	3	4
perphenazine	DB00850	3	12	12	18
alvimopan	DB06274	3	3	3	3
clotrimazole	DB00257	3	38	39	50
mercaptopurine	DB01033	3	6	6	9
phentermine	DB00191	3	3	3	4
vernakalant	DB06217	3	3	3	4
remifentanil	DB00899	3	3	3	3
l-lysine	DB00123	3	4	18	23
axitinib	DB06626	3	26	26	26
silodosin	DB06207	3	3	3	3
mecamylamine	DB00657	3	6	6	9
ferric pyrophosphate	DB09147	3	3	3	3
pentazocine	DB00652	3	5	5	5
tacrine	DB00382	3	8	8	10
suramin	DB04786	3	17	18	24
picrotoxin	DB00466	3	13	13	21
afatinib	DB08916	3	9	9	9
venlafaxine	DB00285	3	5	5	6
levorphanol	DB00854	3	13	13	13
misoprostol	DB00929	3	4	4	5
flecainide	DB01195	3	5	5	7
dilmapimod	DB12140	3	4	4	4
vatalanib	DB04879	3	7	7	7
gallium nitrate	DB05260	3	5	5	6
valdecoxib	DB00580	3	13	13	17
ketoprofen	DB01009	3	5	5	7
bicifadine	DB04889	3	4	4	4
drospirenone	DB01395	3	3	3	4
naldemedine	DB11691	3	3	3	3
elafibranor	DB05187	3	3	3	3
atropine	DB00572	3	7	8	14
oseltamivir	DB00198	3	3	3	3
aleglitazar	DB08915	3	3	3	3
dexmethylphenidate	DB06701	3	3	3	3
salicylic acid	DB00936	3	12	13	16
l-glutamine	DB00130	3	4	12	14
urea	DB03904	3	3	21	28
motexafin gadolinium	DB05428	3	3	3	3
cyproheptadine	DB00434	3	22	22	32
phendimetrazine	DB01579	3	5	5	5
agomelatine	DB06594	3	5	5	5
dapiprazole	DB00298	3	7	7	8
dapoxetine	DB04884	3	4	4	4
permethrin	DB04930	3	3	3	3
tianeptine	DB09289	3	5	5	5
emricasan	DB05408	3	12	12	12
sertraline	DB01104	3	11	11	17
sufentanil	DB00708	3	3	3	3
histidine	DB00117	3	3	45	60
vapreotide	DB04894	3	3	3	3
milnacipran	DB04896	3	5	5	5
folic acid	DB00158	3	6	30	35
bupropion	DB01156	3	7	7	9
podofilox	DB01179	3	18	18	18
ouabain	DB01092	3	4	4	4
phenserine	DB04892	3	3	3	3
limaprost	DB09211	3	3	3	4
phenylpropanolamine	DB00397	3	9	9	12
minoxidil	DB00350	3	5	7	9
ondansetron	DB00904	3	7	7	11
astemizole	DB00637	3	28	28	40
pimagedine	DB05383	3	3	3	3
orlistat	DB01083	3	4	4	5
hydromorphone	DB00327	3	4	4	4
codeine	DB00318	3	3	3	5
flibanserin	DB04908	3	8	8	10
sapropterin	DB00360	3	3	3	4
fentanyl	DB00813	3	5	5	6
taurine	DB01956	3	4	21	28
nedocromil	DB00716	3	3	3	5
biricodar dicitrate	DB04851	3	3	3	3
ethinyl estradiol	DB00977	3	12	12	13
hexachlorophene	DB00756	3	15	15	16
sotalol	DB00489	3	3	3	3
scopolamine	DB00747	3	3	3	8
eugenol	DB09086	3	4	4	7
felbamate	DB00949	3	8	8	9
aranidipine	DB09229	3	3	3	5
octreotide	DB00104	3	5	5	6
miglitol	DB00491	3	5	5	6
fludrocortisone	DB00687	3	4	4	4
aminosalicylic acid	DB00233	3	4	4	5
captodiame	DB09014	3	3	3	3
dinoprostone	DB00917	3	7	7	14
perhexiline	DB01074	3	11	11	17
pomalidomide	DB08910	3	6	6	6
propacetamol	DB09288	3	3	3	4
aminophylline	DB01223	3	10	10	11
chloroquine	DB00608	3	5	7	8
lovastatin	DB00227	3	8	8	10
clodronic acid	DB00720	3	4	4	4
tolrestat	DB02383	3	4	4	4
pranlukast	DB01411	3	4	4	8
eniluracil	DB03516	3	3	3	3
benzphetamine	DB00865	3	4	5	6
ulipristal	DB08867	3	3	3	3
dobutamine	DB00841	3	21	21	27
clevidipine	DB04920	3	5	5	6
fomepizole	DB01213	3	4	4	5
acarbose	DB00284	3	5	5	6
tiapride	DB13025	3	5	5	8
physostigmine	DB00981	3	4	4	5
gemcitabine	DB00441	3	16	19	20
theobromine	DB01412	3	3	3	3
mersalyl	DB09338	3	3	5	5
chloroprocaine	DB01161	3	9	9	14
epinastine	DB00751	3	5	5	8
mazindol	DB00579	3	5	5	8
naltrexone	DB00704	3	4	4	5
fluspirilene	DB04842	3	12	12	17
thiethylperazine	DB00372	3	11	11	16
sirolimus	DB00877	3	4	4	4
pholcodine	DB09209	3	3	3	3
cabozantinib	DB08875	3	6	6	6
alprenolol	DB00866	3	4	5	7
rucaparib	DB12332	3	3	3	5
nitrous acid	DB09112	3	5	5	5
hydrocortisone	DB00741	3	6	6	7
carphenazine	DB01038	3	5	5	5
dimethyltryptamine	DB01488	3	3	3	4
testosterone	DB00624	3	6	83	112
pyridostigmine	DB00545	3	4	4	4
duloxetine	DB00476	3	9	9	13
thiothixene	DB01623	3	12	12	23
nalbuphine	DB00844	3	4	4	4
flutamide	DB00499	3	4	4	4
deoxycholic acid	DB03619	3	4	4	7
bexarotene	DB00307	3	7	7	7
phenylbutazone	DB00812	3	4	4	4
amrinone	DB01427	3	7	7	7
simvastatin	DB00641	3	3	3	3
tamsulosin	DB00706	3	7	7	9
estriol	DB04573	3	5	8	8
betaxolol	DB00195	2	4	4	5
telmisartan	DB00966	2	3	3	4
metipranolol	DB01214	2	2	2	2
estrone sulfate	DB04574	2	2	3	9
eprotirome	DB05035	2	2	2	2
ethopropazine	DB00392	2	4	4	5
irinotecan	DB00762	2	5	5	7
halofuginone	DB04866	2	2	2	2
tanespimycin	DB05134	2	3	3	3
sulfinpyrazone	DB01138	2	5	5	6
doxofylline	DB09273	2	2	2	2
capsaicin	DB06774	2	5	6	8
pralidoxime	DB00733	2	2	2	2
varlitinib	DB05944	2	2	2	2
tamibarotene	DB04942	2	3	3	3
gamma hydroxybutyric acid	DB01440	2	2	2	2
nebivolol	DB04861	2	3	3	4
tenoxicam	DB00469	2	2	2	2
demecarium	DB00944	2	2	2	2
rivanicline	DB05855	2	3	3	3
lipoic acid	DB00166	2	2	8	11
gentamicin	DB00798	2	2	2	2
bortezomib	DB00188	2	38	38	39
trolamine salicylate	DB11079	2	2	2	2
protriptyline	DB00344	2	9	9	16
sodium tetradecyl sulfate	DB00464	2	2	2	2
zaleplon	DB00962	2	7	7	8
primaquine	DB01087	2	6	6	8
fluvoxamine	DB00176	2	5	5	6
stannsoporfin	DB04912	2	2	2	2
pozanicline	DB05458	2	3	3	4
phenmetrazine	DB00830	2	6	6	7
zoledronic acid	DB00399	2	7	7	7
clonazepam	DB01068	2	15	15	21
droxicam	DB09215	2	2	2	2
cinitapride	DB08810	2	2	2	3
becocalcidiol	DB04891	2	2	2	2
antrafenine	DB01419	2	3	3	3
vincristine	DB00541	2	15	15	15
diflunisal	DB00861	2	5	5	5
omeprazole	DB00338	2	4	4	5
nabumetone	DB00461	2	3	3	4
eribulin	DB08871	2	16	16	16
dexrazoxane	DB00380	2	2	2	2
copanlisib	DB12483	2	8	8	8
ursodeoxycholic acid	DB01586	2	4	4	4
azathioprine	DB00993	2	5	5	6
domperidone	DB01184	2	14	14	18
fondaparinux sodium	DB00569	2	2	2	2
levomethadyl acetate	DB01227	2	3	3	4
palbociclib	DB09073	2	9	9	9
amonafide	DB05022	2	2	2	2
sumatriptan	DB00669	2	8	8	13
oxymetholone	DB06412	2	3	3	3
azimilide	DB04957	2	2	2	3
etoposide	DB00773	2	2	5	5
doxylamine	DB00366	2	2	2	3
tasimelteon	DB09071	2	2	2	2
dihomo-gamma-linolenic acid	DB00154	2	2	2	2
amcinonide	DB00288	2	2	2	3
atenolol	DB00335	2	3	3	4
mefloquine	DB00358	2	5	5	7
dacarbazine	DB00851	2	3	3	3
lonafarnib	DB06448	2	6	6	7
equilin	DB02187	2	2	2	2
carbachol	DB00411	2	4	4	9
colchicine	DB01394	2	4	6	7
allylestrenol	DB01431	2	2	2	2
ethyl pyruvate	DB05869	2	2	2	2
meloxicam	DB00814	2	3	3	3
oxprenolol	DB01580	2	2	2	3
difluocortolone	DB09095	2	2	2	2
suprofen	DB00870	2	3	3	3
lansoprazole	DB00448	2	3	3	6
desvenlafaxine	DB06700	2	4	4	5
cilomilast	DB03849	2	3	3	3
arbaclofen placarbil	DB08892	2	2	2	2
mesoridazine	DB00933	2	11	11	16
gw-501516	DB05416	2	3	3	3
modafinil	DB00745	2	6	6	8
edrophonium	DB01010	2	6	6	6
riluzole	DB00740	2	12	12	17
menthol	DB00825	2	2	3	5
ethinamate	DB01031	2	2	2	2
drotaverine	DB06751	2	3	3	3
levomilnacipran	DB08918	2	3	3	3
ethynodiol diacetate	DB00823	2	3	3	3
salmeterol	DB00938	2	3	3	5
pirlindole	DB09244	2	2	2	3
vigabatrin	DB01080	2	2	2	3
metoprolol	DB00264	2	2	2	3
warfarin	DB00682	2	7	9	10
enalaprilat	DB09477	2	2	2	2
toremifene	DB00539	2	3	3	3
rasagiline	DB01367	2	2	2	3
bifeprunox	DB04888	2	5	5	6
epoprostenol	DB01240	2	4	4	6
ranitidine	DB00863	2	2	3	4
lefradafiban	DB04863	2	2	2	2
furosemide	DB00695	2	11	12	16
ruxolitinib	DB08877	2	13	13	13
seletracetam	DB05885	2	2	2	3
benidipine	DB09231	2	4	4	6
erythromycin	DB00199	2	3	4	5
methyldopa	DB00968	2	4	4	6
tirofiban	DB00775	2	3	3	3
pentosan polysulfate	DB00686	2	2	2	3
pagoclone	DB04903	2	11	11	16
alanosine	DB05540	2	2	2	2
tesaglitazar	DB06536	2	2	2	2
flumazenil	DB01205	2	11	11	16
megestrol acetate	DB00351	2	4	4	5
terbutaline	DB00871	2	2	2	3
irbesartan	DB01029	2	4	4	4
lumateperone	DB06077	2	3	3	3
sodium sulfate	DB09472	2	3	5	6
amantadine	DB00915	2	9	10	10
lesinurad	DB11560	2	3	3	3
lacosamide	DB06218	2	16	16	24
