Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C0033860	psoriasis	46	46	56
C0004153	atherosclerosis	46	46	52
C0158731	congenital pectus carinatum	45	45	50
C0376175	bell palsy	45	45	56
C0266470	cerebellar hypoplasia	45	45	51
C1848736	distal amyotrophy	45	45	48
C0024421	macroglossia	45	45	58
C1834405	nail dysplasia	44	44	51
C3494422	retrognathia	44	44	51
C0576093	knee joint valgus deformity	43	43	53
C3714581	multicystic dysplastic kidney	43	43	51
C0265610	congenital clinodactyly	43	43	51
C0025149	medulloblastoma	43	43	46
C0002736	amyotrophic lateral sclerosis	42	42	48
C0870082	hyperkeratosis	42	42	45
C1385263	facial deformity	42	42	44
C0521719	clouding of corneal stroma	42	42	48
C0743359	ear infection chronic	42	42	45
C0271441	chronic otitis media	42	42	45
C1862939	amyotrophic lateral sclerosis 1	41	41	48
C0003864	arthritis	41	41	48
C0022578	keratoconus	41	41	62
C0266544	microcornea	41	41	47
C0265783	congenital hypoplasia of lung	40	40	44
C0027819	neuroblastoma	40	40	42
C4021782	abnormality of the fingernails	40	40	47
C0266464	polymicrogyria	40	40	43
C0019555	hip dislocation, congenital	39	39	46
C4025814	abnormality of the metaphyses	39	39	44
C0018418	gynecomastia	39	39	51
C0221352	syndactyly of fingers	39	39	43
C0007117	basal cell carcinoma	38	38	41
C0011854	diabetes mellitus, insulin-dependent	38	38	46
C0152423	congenital small ears	38	38	44
C2711227	steatohepatitis	38	38	41
C0027962	melanocytic nevus	38	38	40
C0010278	craniosynostosis	38	38	42
C0039075	syndactyly	37	37	39
C0009691	congenital cataract	37	37	41
C4020854	neuro-degenerative disease	37	37	43
C0003706	arachnodactyly	37	37	42
C4025790	specific learning disability	37	37	42
C4024753	abnormality of the retinal vasculature	37	37	57
C3277059	congenital bilateral cataracts	37	37	41
C0020676	hypothyroidism	36	36	45
C3715165	left ventricular noncompaction 10	36	36	37
C0265660	syndactyly of the toes	36	36	41
C0023892	biliary cirrhosis	36	36	41
C3809288	left ventricular noncompaction 8	36	36	37
C0029463	osteosarcoma	36	36	38
C1956257	pulmonary stenosis	36	36	44
C0043352	xerostomia	35	35	41
C0003466	anus, imperforate	35	35	43
C0156394	hypertrophy of clitoris	35	35	38
C1961102	precursor cell lymphoblastic leukemia lymphoma	35	35	40
C0747085	recurrent otitis media	35	35	39
C0149721	left ventricular hypertrophy	35	35	37
C0026267	mitral valve prolapse syndrome	35	35	37
C0431483	simple ear	35	35	37
C0085762	alcohol abuse	34	34	43
C0431904	ulnar polydactyly of fingers	34	34	44
C1846460	malformed pinnae	34	34	36
C0039685	tetralogy of fallot	34	34	41
C0149925	small cell carcinoma of lung	34	34	40
C0024312	lymphopenia	34	34	34
C0030312	pancytopenia	33	33	36
C0006267	bronchiectasis	33	33	37
C0431447	synophrys	33	33	34
C0037199	sinusitis	33	33	37
C0040136	thyroid neoplasm	33	33	36
C0022548	keloid	33	33	36
C0024117	chronic obstructive airway disease	33	33	36
C0232939	primary physiologic amenorrhea	33	33	51
C0023487	acute promyelocytic leukemia	33	33	35
C0020757	ichthyoses	33	33	40
C0266483	pachygyria	32	32	35
C0013595	eczema	32	32	40
C0029927	ovarian cysts	32	32	40
C0026850	muscular dystrophy	32	32	41
C4020847	abnormality of pelvic girdle bone morphology	32	32	36
C0017668	focal glomerulosclerosis	32	32	33
C0009763	conjunctivitis	31	31	35
C3203102	idiopathic pulmonary arterial hypertension	31	31	38
C0685409	congenital camptodactyly	31	31	36
C0023530	leukopenia	31	31	34
C0751778	myoclonic epilepsies, progressive	31	31	36
C0240063	coloboma of iris	31	31	34
C0221217	neck webbing	31	31	35
C2973725	pulmonary arterial hypertension	31	31	38
C0010346	crohn disease	31	31	41
C0040588	tracheoesophageal fistula	31	31	35
C0086438	hypogammaglobulinemia	31	31	32
C4025846	abnormality of vision	30	30	36
C0020443	hypercholesterolemia	30	30	35
C0013336	dwarfism	30	30	33
C0023434	chronic lymphocytic leukemia	30	30	35
C0375206	hemiplegia and hemiparesis	30	30	36
C0020437	hypercalcemia	30	30	34
C0009363	congenital ocular coloboma (disorder)	29	29	37
C0235833	congenital diaphragmatic hernia	29	29	31
C0037772	spastic paraplegia	29	29	35
C0001969	alcoholic intoxication	29	29	33
C0042580	vesico-ureteral reflux	29	29	33
C0020456	hyperglycemia	29	29	33
C0238621	aminoaciduria	29	29	35
C0600427	cocaine dependence	29	29	41
C0026764	multiple myeloma	29	29	31
C0409338	flexion contracture - elbow	29	29	31
C0011351	dental enamel hypoplasia	29	29	33
C0004238	atrial fibrillation	29	29	35
C0038271	stereotyped behavior	28	28	32
C0426970	spastic quadriplegia	28	28	31
C0003123	anorexia	28	28	33
C4280262	dystrophic tooth enamel	28	28	29
C1184923	lumbar lordosis	28	28	34
C0238463	papillary thyroid carcinoma	28	28	30
C0948896	primary hypogonadism	28	28	34
C0239946	fibrosis, liver	28	28	30
C0028768	obsessive-compulsive disorder	27	27	29
C0003504	aortic valve insufficiency	27	27	30
C0263401	cutis marmorata	27	27	30
C0494475	tonic - clonic seizures	27	27	32
C0085583	choreoathetosis	27	27	29
C0038325	stevens-johnson syndrome	27	27	29
C0023264	leigh disease	27	27	31
C0022679	cystic kidney	27	27	28
C0009319	colitis	27	27	31
C0036920	sezary syndrome	26	26	26
C0702166	acne	26	26	32
C0266295	congenital hypoplasia of kidney	26	26	29
C0017658	glomerulonephritis	26	26	32
C0004509	azoospermia	26	26	31
C0014457	eosinophilia	26	26	26
C0022665	kidney neoplasm	26	26	28
C0003492	aortic coarctation	26	26	30
C0020473	hyperlipidemia	26	26	30
C0023520	leukodystrophy	26	26	28
C0011615	dermatitis, atopic	26	26	36
C1842083	abnormality of the ribs	25	25	30
C0085684	foot-drop	25	25	25
C4021776	abnormality of the voice	25	25	39
C0020490	hyperopia	25	25	42
C0042109	urticaria	25	25	29
C0034150	purpura	25	25	25
C2316810	chronic kidney disease stage 5	25	25	29
C0026351	moderate mental retardation (i.q. 35-49)	24	24	26
C0006386	bunion	24	24	26
C4082304	oligodontia	24	24	24
C0017567	gingival hypertrophy	24	24	32
C1837249	malformations of cortical development, group ii	24	24	29
C0152427	polydactyly	24	24	27
C0344531	embryotoxon	24	24	25
C0266122	cleft uvula	24	24	26
C0162557	liver failure, acute	24	24	29
C0546967	posterior embryotoxon	24	24	25
C0018536	hallux valgus	24	24	26
C0008297	choanal atresia	24	24	26
C0401151	chronic diarrhea	24	24	29
C0014850	esophageal atresia	24	24	24
C0432333	abnormal dermatoglyphic pattern	24	24	24
C0542519	congenital absence of kidney	24	24	30
C0024809	marijuana abuse	23	23	31
C0030354	papilloma	23	23	24
C0694550	recurrent pneumonia	23	23	26
C3714796	isolated somatotropin deficiency	23	23	26
C0748140	multiple pulmonary infections	23	23	26
C0206698	cholangiocarcinoma	23	23	24
C0030305	pancreatitis	23	23	32
C1168401	squamous cell carcinoma of the head and neck	23	23	27
C0025289	meningitis	23	23	26
C0338474	central nervous system demyelination	23	23	26
C0158113	contracture of joint of hand	23	23	27
C0020796	profound mental retardation	22	22	29
C0178417	anhedonia	22	22	26
C0600104	obsessive compulsive behavior	22	22	22
C3161330	profound intellectual disabilities	22	22	29
C0019202	hepatolenticular degeneration	22	22	23
C0015625	fanconi anemia	22	22	22
C0010964	dandy-walker syndrome	22	22	28
C0398650	immune thrombocytopenic purpura	22	22	24
C0014550	epilepsies, myoclonic	22	22	28
C0004114	astrocytoma	22	22	23
C0392525	nephrolithiasis	22	22	28
C0034013	precocious puberty	22	22	24
C3489733	oculomotor apraxia	22	22	24
C0239981	hypoalbuminemia	22	22	23
C0678222	breast carcinoma	22	22	22
C0152025	polyneuropathy	22	22	23
C0741796	recurrent bronchitis	21	21	23
C0019158	hepatitis	21	21	24
C0266625	preauricular sinus	21	21	25
C0020678	hypotrichosis	21	21	28
C0010495	cutis laxa	21	21	23
C0037036	sialorrhea	21	21	23
C0018524	hallucinations	21	21	26
C4020858	choreatic disease	21	21	25
C0242584	autoimmune thrombocytopenia	21	21	22
C4021759	generalized myoclonic seizures	21	21	26
C0019189	hepatitis, chronic	21	21	21
C0011606	exfoliative dermatitis	21	21	24
C0035305	retinal detachment	21	21	30
C0162539	igg deficiency	21	21	21
C0079773	lymphoma, t-cell, cutaneous	21	21	21
C0266610	preauricular dimple	21	21	25
C2930812	generalized elastolysis	21	21	23
C0546969	preauricular fistulae, congenital	21	21	25
C0920163	idiopathic thrombocytopenia	21	21	22
C0042384	vasculitis	21	21	23
C0158646	cleft palate with cleft lip	21	21	22
C0221373	claw hand	21	21	24
C0242350	erectile dysfunction	21	21	28
C0240912	vertical talus	21	21	22
C0020541	hypertension, portal	20	20	22
C0024236	lymphedema	20	20	22
C0266362	ambiguous genitalia	20	20	21
C4025844	chorioretinal abnormality	20	20	21
C0018916	hemangioma	20	20	22
C0024305	lymphoma, non-hodgkin	20	20	22
C0206620	lymphangioma, cystic	20	20	20
C0022568	keratitis	20	20	24
C0432040	simple syndactyly of toes, first web space	20	20	22
C0023473	myeloid leukemia, chronic	20	20	21
C0020555	hypertrichosis	20	20	22
C1862314	basal cell nevi	20	20	21
C0543888	epileptic encephalopathy	20	20	22
C0025286	meningioma	20	20	21
C0263490	brittle hair	20	20	24
C0752347	lewy body disease	20	20	21
C0004943	behcet syndrome	20	20	22
C0019569	hirschsprung disease	20	20	26
C0265677	congenital hemivertebra	19	19	22
C4021821	abnormality of the urinary system	19	19	20
C4072879	small cheekbone	19	19	21
C0685381	congenital hypoplasia of radius	19	19	22
C3164374	abnormality of pulmonary valve	19	19	21
C0031099	periodontitis	19	19	20
C0034065	pulmonary embolism	19	19	21
C0034067	pulmonary emphysema	19	19	23
C0349639	juvenile myelomonocytic leukemia	19	19	19
C0151740	intracranial hypertension	19	19	21
C1857079	atretic auditory canal	19	19	22
C1866190	atresia of the external auditory canal	19	19	22
C0685840	congenital hypoplasia of ovary	19	19	27
C0013592	ectropion	19	19	21
C0151313	sensory neuropathy	19	19	19
C4021242	hypoplasia of the zygomatic bone	19	19	21
C3278509	spinal fusion	19	19	23
C4082169	metatarsus varus	19	19	21
C1280433	lipoatrophy	19	19	19
C1261473	sarcoma	19	19	21
C0262655	recurrent urinary tract infection	19	19	24
C4020861	depressed philtrum	19	19	20
C0431890	hypoplasia of thumb	19	19	22
C1849073	fused vertebrae	19	19	23
C0025322	premature menopause	19	19	23
C0162835	hypopigmentation disorder	19	19	24
C0581381	recurrent upper respiratory tract infection	19	19	20
C1398325	absent auditory canals	19	19	22
C0856975	autistic behavior	19	19	19
C0206686	adrenocortical carcinoma	18	18	18
C0917798	cerebral ischemia	18	18	18
C0158761	radioulnar synostosis	18	18	20
C2936907	nadh:q(1) oxidoreductase deficiency	18	18	19
C0018920	hemangioma, cavernous	18	18	19
C1866730	rhizomelia	18	18	23
C0426799	congenital hypoplasia of clavicle	18	18	18
C0029464	osteosclerosis	18	18	22
C0973461	dysphasia	18	18	21
C4049796	abnormality of cardiovascular system morphology	18	18	21
C0029882	otitis media	17	17	19
C0015310	exotropia	17	17	23
C0020305	hydrops fetalis	17	17	20
C0023532	leukoplakia, oral	17	17	18
C1839839	major affective disorder 2	17	17	20
C0042900	vitiligo	17	17	19
C0022521	kartagener syndrome	17	17	28
C0001403	addison disease	17	17	17
C0080178	spina bifida	17	17	19
C0008350	cholelithiasis	17	17	18
C0687120	nephronophthisis	17	17	17
C0000889	acanthosis nigricans	17	17	20
C4021813	oral cleft	17	17	18
C0238397	pulmonary artery stenosis	17	17	19
C0007570	celiac disease	17	17	19
C0042514	tachycardia, ventricular	17	17	19
C4021815	abnormality of the palate	17	17	17
C1389113	generalized amyotrophy	17	17	20
C0240896	fundus coloboma	17	17	18
C0265319	fibrous skin tumor of tuberous sclerosis	16	16	16
C0431399	familial aplasia of the vermis	16	16	17
C0002886	anemia, macrocytic	16	16	16
C4020851	cortical white matter abnormalities seen on mri	16	16	17
C0158465	acquired cubitus valgus	16	16	18
C0392557	nuclear cataract	16	16	19
C0028326	noonan syndrome	16	16	16
C0003507	aortic valve stenosis	16	16	19
C1301959	bulbar weakness	16	16	18
C0752166	bardet-biedl syndrome	16	16	21
C3714497	reactive airway disease	16	16	19
C4280628	malformation of the neck	16	16	19
C1619700	renal adysplasia	16	16	23
C1704317	leukokeratosis	16	16	17
C4021797	abnormality of the thorax	16	16	18
C3536714	renal dysplasia	16	16	23
C0162538	immunoglobulin a deficiency (disorder)	16	16	17
C0014553	absence epilepsy	16	16	19
C0023787	lipodystrophy	16	16	17
C0405580	adrenal cortical hypofunction	16	16	16
C1368816	sebaceous adenoma	16	16	16
C1861975	cafe au lait spots, multiple	16	16	16
C4021546	abnormal mitochondria in muscle tissue	16	16	16
C0027709	nephrocalcinosis	16	16	22
C0087012	ataxia, spinocerebellar	16	16	16
C0272027	pyridoxine-responsive sideroblastic anemia	16	16	16
C3553450	profound global developmental delay	16	16	16
C4082299	bulbar palsy	16	16	18
C1837658	gross motor development delay	16	16	18
C4280807	flattening of cranial vault	15	15	19
C3278811	thumb aplasia	15	15	15
C0265998	anonychia	15	15	17
C1260899	anemia, diamond-blackfan	15	15	15
C4280598	flattening of head	15	15	19
C4280597	rhomboid shaped head	15	15	19
C0265529	plagiocephaly	15	15	19
C1567435	polycystic kidney - body part	15	15	15
C0266013	congenital hypoplasia of breast	15	15	24
C0024301	lymphoma, follicular	15	15	15
C4280333	recurrent sinus disease	15	15	20
C0232940	secondary physiologic amenorrhea	15	15	22
C0020428	hyperaldosteronism	15	15	19
C0730290	cone dystrophy	15	15	19
C0018055	gonadal dysgenesis, mixed	15	15	17
C0018051	gonadal dysgenesis	15	15	17
C0001768	agammaglobulinemia	15	15	15
C0012819	diverticular disease of colon	15	15	15
C0149630	bicuspid aortic valve	15	15	16
C0431362	lobar holoprosencephaly	15	15	18
C0279680	transitional cell carcinoma of bladder	15	15	15
C0581354	recurrent sinusitis	15	15	20
C1263857	peripheral axonal neuropathy	15	15	16
C0027960	nevus	15	15	16
C1450010	plagiocephaly, nonsynostotic	15	15	19
C1301937	talipes	15	15	19
C4024989	hereditary nonpolyposis colorectal carcinoma	15	15	15
C0687149	pure gonadal dysgenesis	15	15	17
C0795690	congenital omphalocele	15	15	18
C4072827	cone/cone-rod dystrophy	15	15	19
C0751688	malignant squamous cell neoplasm	15	15	15
C4025252	abnormal nasal morphology	15	15	16
C0036337	schizoaffective disorder	15	15	18
C0043459	zellweger syndrome	15	15	15
C1112705	nuclear non-senile cataract	15	15	18
C0432355	hypoplasia of nipple	15	15	16
C0234144	dysgraphia	15	15	16
C4021741	abnormal cortical bone morphology	15	15	20
C4021785	abnormality of the metacarpal bones	15	15	17
C0001206	acromegaly	15	15	16
C0028960	oligospermia	15	15	16
C0270921	axonal neuropathy	15	15	16
C0019151	hepatic encephalopathy	14	14	15
C0005741	blepharitis	14	14	17
C0392777	poikiloderma	14	14	14
C4082173	porencephaly	14	14	14
C0002888	anemia, megaloblastic	14	14	16
C1843687	atrial fibrillation, familial, 1 (disorder)	14	14	19
C0027697	nephritis	14	14	16
C0031511	pheochromocytoma	14	14	17
C0020620	hypohidrosis	14	14	22
C4021107	non-obstructive azoospermia	14	14	21
C0238395	male pseudohermaphroditism	14	14	17
C0155320	blindness, cortical	14	14	17
C0345996	milium cyst	14	14	15
C0085110	severe combined immunodeficiency	14	14	14
C0014866	esophageal stenosis	14	14	14
C0085159	seasonal affective disorder	14	14	16
C0206726	gliosarcoma	14	14	15
C0836924	thrombocytosis	14	14	14
C2937365	recurrent aphthous ulcer	14	14	15
C4025838	abnormality of the pharynx	14	14	15
C0023212	left-sided heart failure	14	14	15
C0221210	congenital malrotation of intestine	14	14	16
C0239105	conjunctival telangiectasis	14	14	14
C0013363	dysautonomia	14	14	17
C1864903	hyperinsulinaemic hypoglycaemia	14	14	16
C0339063	cellulitis of eyelid	14	14	17
C0038363	aphthous stomatitis	14	14	15
C0037769	west syndrome	14	14	17
C1838608	radial aplasia	13	13	15
C0149754	cellulitis of periorbital region	13	13	13
C0018099	gout	13	13	13
C4025845	abnormality of the iris	13	13	14
C0014065	congenital cerebral hernia	13	13	20
C0282527	infantile refsum disease (disorder)	13	13	13
C0282525	adrenoleukodystrophy, neonatal	13	13	13
C0398623	thrombophilia	13	13	16
C0006413	burkitt lymphoma	13	13	15
C0020302	hydrophthalmos	13	13	18
C0002880	autoimmune hemolytic anemia	13	13	15
C1855081	microcephaly, primary autosomal recessive, 1	13	13	14
C0266039	taurodontism	13	13	13
C0023882	little's disease	13	13	14
C0007114	malignant neoplasm of skin	13	13	13
C0021843	intestinal obstruction	13	13	18
C0852283	respiratory distress syndrome	13	13	13
C0039446	telangiectasis	13	13	15
C4021735	abnormality of the hip bone	13	13	14
C0740394	hyperuricemia	13	13	16
C0432163	defect of vertebral segmentation	13	13	16
C0009171	cocaine abuse	13	13	15
C0399385	early tooth exfoliation	13	13	15
C0006142	malignant neoplasm of breast	13	13	14
C0149745	oral ulcer	13	13	14
C1855020	acute necrotizing encephalopathy	13	13	13
C2242472	infection of bone	13	13	15
C0162674	chronic progressive external ophthalmoplegia	13	13	16
C1136382	sclerocystic ovaries	13	13	15
C0266399	infantile uterus	13	13	22
C0004763	barrett esophagus	13	13	15
C0008312	primary biliary cirrhosis	13	13	15
C4025749	abnormality of the spleen	13	13	13
C0677776	hereditary breast and ovarian cancer syndrome	13	13	13
C1843156	hearing loss, progressive sensorineural	13	13	15
C0040412	fissured tongue	13	13	15
C0029443	osteomyelitis	13	13	15
C4023397	abnormal hair quantity	13	13	16
C0027708	nephroblastoma	13	13	15
C0266294	unilateral agenesis of kidney	13	13	18
C1405984	absent radius	13	13	15
C0013581	ectopia lentis	13	13	16
C4021753	abnormality of the immune system	13	13	18
C4021976	abnormality of the lymphatic system	13	13	13
C1865027	hypoplastic iliac wing	13	13	16
C0042510	ventricular fibrillation	13	13	15
C0267456	villous atrophy of intestine	13	13	16
C0266463	lissencephaly	13	13	13
C1879312	agyria	13	13	13
C1838979	mitochondrial complex i deficiency	12	12	14
C0009952	febrile convulsions	12	12	13
C0392775	cystic medial necrosis of aorta	12	12	13
C0334588	giant cell glioblastoma	12	12	12
C1850794	muscle atrophy, proximal	12	12	12
C0020445	hypercholesterolemia, familial	12	12	14
C0264142	spade-like hand	12	12	15
C0035412	rhabdomyosarcoma	12	12	13
C0263537	onychogryposis	12	12	13
C0031256	petechiae	12	12	12
C3854388	hyperferritinaemia	12	12	13
C3808377	cataract 16, multiple types	12	12	15
C1836635	loeys-dietz aortic aneurysm syndrome	12	12	13
C0085576	iron-refractory iron deficiency anemia	12	12	15
C4025900	abnormality of female internal genitalia	12	12	12
C0282160	aplasia cutis congenita	12	12	14
C0339527	leber congenital amaurosis	12	12	18
C2674574	aortic aneurysm, familial thoracic 3	12	12	13
C0036349	paranoid schizophrenia	12	12	17
C4020839	multiple vertebral anomalies	12	12	16
C0280631	leiomyosarcoma of uterus	12	12	12
C4021792	abnormality of the clavicle	12	12	14
C0039621	tetany	12	12	14
C1456784	paranoia	12	12	19
C2931456	prostate cancer, familial	12	12	13
C4020892	capuchin ears	12	12	14
C4022020	mucosal telangiectasiae	12	12	13
C0037315	sleep apnea syndromes	12	12	13
C0020550	hyperthyroidism	12	12	13
C0032461	polycythemia	12	12	12
C0080174	spina bifida occulta	12	12	12
C0266371	streak ovary	12	12	14
C0013384	dyskinetic syndrome	12	12	14
C0917805	transient cerebral ischemia	12	12	12
C0546964	genu recurvatum	12	12	12
C0410550	collapse of vertebra	12	12	13
C1389016	atrioventricular canal defect	12	12	15
C4020840	abnormal vertebral bodies	12	12	16
C4020844	bullet vertebral body	12	12	16
C0079541	holoprosencephaly	12	12	13
C0152459	linear atrophy	12	12	14
C0265215	meckel-gruber syndrome	12	12	13
C0221353	horseshoe kidney	12	12	14
C0152438	sprengel deformity	12	12	15
C4022878	descending aortic dissection	12	12	13
C1837482	thoracic hypoplasia	12	12	13
C0040028	thrombocythemia, essential	12	12	12
C1849075	relative macrocephaly	12	12	12
C1960469	left ventricular noncompaction	12	12	12
C0026847	spinal muscular atrophy	12	12	12
C0014877	esotropia	12	12	17
C4021977	visceral angiomatosis	12	12	13
C0035579	rickets	12	12	16
C1835047	melanoma, cutaneous malignant, 1	12	12	12
C0013405	dyspnea, paroxysmal	12	12	13
C0341787	bifid scrotum	12	12	14
C0392163	corneal erosion	11	11	14
C1512419	hereditary melanoma	11	11	11
C0266642	situs ambiguus	11	11	22
C0011253	delusions	11	11	11
C0338831	manic	11	11	14
C0035455	rhinitis	11	11	14
C0221765	chronic schizophrenia	11	11	11
C1276035	pena-shokeir syndrome type i	11	11	12
C0267963	exocrine pancreatic insufficiency	11	11	14
C0854110	insulin resistant diabetes	11	11	12
C0085623	akinesia	11	11	11
C0265563	congenital dislocation of radial head	11	11	13
C1336708	testicular germ cell tumor	11	11	12
C0345309	hypoplasia of vagina	11	11	12
C0009447	common variable immunodeficiency	11	11	11
C0003028	anhidrosis	11	11	12
C0029454	osteopetrosis	11	11	12
C0238207	ectopic kidney	11	11	11
C0158986	neonatal hypoglycemia	11	11	16
C0220697	polydactyly, postaxial	11	11	13
C0151721	testicular hypogonadism	11	11	19
C0007789	cerebral palsy	11	11	12
C0271578	female hypogonadism syndrome	11	11	17
C0553730	calcium pyrophosphate deposition disease	11	11	13
C0265989	congenital scar	11	11	13
C0024437	macular degeneration	11	11	15
C1112256	peripheral sensorimotor neuropathy	11	11	15
C0345030	peripheral pulmonary artery stenosis	11	11	13
