C0000744	abetalipoproteinemia
C0013423	dystonia musculorum deformans
C0013481	ebstein anomaly
C0013537	eclampsia
C0013575	ectodermal dysplasia
C0013581	ectopia lentis
C0013592	ectropion
C0013595	eczema
C0013902	elliptocytosis, hereditary
C0013903	ellis-van creveld syndrome
C0014038	encephalitis
C0014065	congenital cerebral hernia
C0014067	occipital encephalocele
C0014084	enchondromatosis
C0014117	endocardial fibroelastosis
C0014121	bacterial endocarditis
C0014306	enophthalmos
C0014356	enterocolitis
C0014390	entropion
C0014457	eosinophilia
C0014474	ependymoma
C0014522	epidermodysplasia verruciformis
C0014534	epididymitis
C0014544	epilepsy
C0014550	epilepsies, myoclonic
C0014553	absence epilepsy
C0014583	episcleritis
C0014714	ergotism
C0014733	erysipelas
C0014743	erythema nodosum
C0014800	erythroid hyperplasia
C0014804	erythromelalgia
C0014805	primary erythermalgia
C0014848	esophageal achalasia
C0014850	esophageal atresia
C0014866	esophageal stenosis
C0014867	esophageal varices
C0014868	esophagitis
C0014877	esotropia
C0015300	exophthalmos
C0015306	hereditary multiple exostoses
C0015310	exotropia
C0015469	facial paralysis
C0015499	factor v deficiency
C0015503	factor vii deficiency
C0015519	factor x deficiency
C0015523	factor xi deficiency
C0015526	factor xii deficiency
C0015625	fanconi anemia
C0015732	fecal incontinence
C0015923	fetal alcohol syndrome
C0016037	fibrodysplasia ossificans progressiva
C0016045	fibroma
C0016049	fibromatosis, gingival
C0016052	fibromuscular dysplasia
C0016057	fibrosarcoma
C0016064	fibrous dysplasia, monostotic
C0016065	polyostotic fibrous dysplasia
C0016395	focal dermal hypoplasia
C0016522	foramen ovale, patent
C0016667	fragile x syndrome
C0016719	friedreich ataxia
C0016751	hereditary fructose intolerance syndrome
C0016756	fructose-1,6-diphosphatase deficiency
C0016781	fuchs endothelial dystrophy
C0016788	fucosidase deficiency disease
C0016873	fused teeth
C0016952	galactosemias
C0017075	ganglioneuroma
C0017086	gangrene
C0017097	gardner syndrome
C0017152	gastritis
C0017154	gastritis, atrophic
C0017168	gastroesophageal reflux disease
C0017495	gerstmann-straussler-scheinker disease
C0017551	gilbert disease (disorder)
C0017567	gingival hypertrophy
C0017574	gingivitis
C0017601	glaucoma
C0017636	glioblastoma
C0017638	glioma
C0017658	glomerulonephritis
C0017662	glomerulonephritis, membranoproliferative
C0017665	membranous glomerulonephritis
C0017668	focal glomerulosclerosis
C0017671	glomus jugulare tumor
C0017675	glossitis
C0017689	glucagonoma
C0017920	glycogen storage disease type i
C0017921	glycogen storage disease type ii
C0017922	glycogen storage disease type iii
C0017923	glycogen storage disease type iv
C0017924	glycogen storage disease type v
C0017925	glycogen storage disease type vi
C0017926	glycogen storage disease type vii
C0017980	glycosuria, renal
C0018023	nodular goiter
C0018051	gonadal dysgenesis
C0018054	gonadal dysgenesis, 46,xy
C0018055	gonadal dysgenesis, mixed
C0018099	gout
C0018179	granular dystrophy, corneal
C0018213	graves disease
C0018413	gynandroblastoma
C0018418	gynecomastia
C0018425	gyrate atrophy
C0018522	hallermann's syndrome
C0018523	hallervorden-spatz syndrome
C0018524	hallucinations
C0018536	hallux valgus
C0018552	hamartoma
C0018553	hamartoma syndrome, multiple
C0018609	hartnup disease
C0018777	conductive hearing loss
C0018780	hearing loss, high-frequency
C0018784	sensorineural hearing loss (disorder)
C0018790	cardiac arrest
C0018801	heart failure
C0018802	congestive heart failure
C0018916	hemangioma
C0018920	hemangioma, cavernous
C0018922	hemangiopericytoma
C0018975	hemeralopia
C0018979	hemianopsia
C0019021	hemoglobin c disease
C0019025	hemoglobin f disease
C0019034	hemoglobin sc disease
C0019048	hemoglobinuria
C0019061	hemolytic-uremic syndrome
C0019069	hemophilia a
C0019151	hepatic encephalopathy
C0019158	hepatitis
C0019189	hepatitis, chronic
C0019202	hepatolenticular degeneration
C0019288	hernia, femoral
C0019555	hip dislocation, congenital
C0019562	von hippel-lindau syndrome
C0019569	hirschsprung disease
C0019618	histiocytosis
C0019829	hodgkin disease
C0019880	homocystinuria
C0019937	horner syndrome
C0020071	hereditary sensory autonomic neuropathy, type 1
C0020074	hsan type iv
C0020075	hereditary sensory autonomic neuropathy, type 5
C0020179	huntington disease
C0020225	hydranencephaly
C0020255	hydrocephalus
C0020258	hydrocephalus, normal pressure
C0020295	hydronephrosis
C0020302	hydrophthalmos
C0020305	hydrops fetalis
C0020428	hyperaldosteronism
C0020437	hypercalcemia
C0020443	hypercholesterolemia
C0020445	hypercholesterolemia, familial
C0020455	hypergammaglobulinemia
C0020456	hyperglycemia
C0020459	hyperinsulinism
C0020473	hyperlipidemia
C0020479	hyperlipoproteinemia type iii
C0020480	hyperlipoproteinemia type iv
C0020481	hyperlipoproteinemia type v
C0020490	hyperopia
C0020492	hyperostosis
C0020494	hyperostosis frontalis interna
C0020497	cortical congenital hyperostosis
C0020500	hyperoxaluria
C0020502	hyperparathyroidism
C0020503	hyperparathyroidism, secondary
C0020514	hyperprolactinemia
C0020532	hypersplenism
C0020541	hypertension, portal
C0020545	hypertension, renovascular
C0020550	hyperthyroidism
C0020555	hypertrichosis
C0020595	hypoaldosteronism
C0020597	hypobetalipoproteinemias
C0020608	hypodontia
C0020615	hypoglycemia
C0020617	hypoglycemic coma
C0020619	hypogonadism
C0020620	hypohidrosis
C0020626	hypoparathyroidism
C0020635	hypopituitarism
C0020639	hypoproteinemia
C0020640	inherited factor ii deficiency
C0020676	hypothyroidism
C0020678	hypotrichosis
C0020725	type ii mucolipidosis
C0020757	ichthyoses
C0020758	congenital ichthyosis
C0020796	profound mental retardation
C0021171	bloch sulzberger syndrome
C0021670	insulinoma
C0021818	intervertebral disk displacement
C0021828	intestinal atresia
C0021843	intestinal obstruction
C0021847	intestinal pseudo-obstruction
C0021933	intussusception
C0022073	iridocyclitis
C0022336	creutzfeldt-jakob disease
C0022350	jaundice, chronic idiopathic
C0022387	jervell-lange nielsen syndrome
C0022521	kartagener syndrome
C0022541	kearns-sayre syndrome
C0022548	keloid
C0022568	keratitis
C0022573	keratoconjunctivitis
C0022575	keratoconjunctivitis sicca
C0022578	keratoconus
C0022584	keratoderma, palmoplantar, diffuse
C0022595	keratosis follicularis
C0022596	palmoplantar keratosis
C0022603	seborrheic keratosis
C0022610	kernicterus
C0022638	ketosis
C0022660	kidney failure, acute
C0022665	kidney neoplasm
C0022679	cystic kidney
C0022716	menkes kinky hair syndrome
C0022738	klippel-feil syndrome
C0022739	klippel-trenaunay-weber syndrome
C0022797	adult neuronal ceroid lipofuscinosis
C0022802	kuru
C0022906	lacrimal duct obstruction
C0022951	lactose intolerance
C0023003	langer-giedion syndrome
C0023066	laryngismus
C0023075	laryngostenosis
C0023138	laurence-moon syndrome
C0023195	lecithin acyltransferase deficiency
C0023211	left bundle-branch block
C0023212	left-sided heart failure
C0023234	legg-calve-perthes disease
C0023264	leigh disease
C0023374	lesch-nyhan syndrome
C0023418	leukemia
C0023434	chronic lymphocytic leukemia
C0023437	acute basophilic leukemia
C0023443	hairy cell leukemia
C0023449	acute lymphocytic leukemia
C0023464	acute biphenotypic leukemia
C0023465	acute monocytic leukemia
C0023467	leukemia, myelocytic, acute
C0023473	myeloid leukemia, chronic
C0023479	acute myelomonocytic leukemia
C0023480	leukemia, myelomonocytic, chronic
C0023481	chronic neutrophilic leukemia
C0023487	acute promyelocytic leukemia
C0023520	leukodystrophy
C0023521	globoid cell leukodystrophy
C0023522	leukodystrophy, metachromatic
C0023529	leukomalacia, periventricular
C0023530	leukopenia
C0023532	leukoplakia, oral
C0023600	leydig cell hyperplasia
C0023787	lipodystrophy
C0023795	lipoid proteinosis of urbach and wiethe
C0023798	lipoma
C0023806	lipomucopolysaccharidosis
C0023817	hyperlipoproteinemia type i
C0023882	little's disease
C0023890	liver cirrhosis
C0023892	biliary cirrhosis
C0023931	lobstein's disease
C0024117	chronic obstructive airway disease
C0024138	lupus erythematosus, discoid
C0024141	lupus erythematosus, systemic
C0024145	chilblain lupus 1
C0024205	lymphadenitis
C0024221	lymphangioma
C0024236	lymphedema
C0024301	lymphoma, follicular
C0024305	lymphoma, non-hodgkin
C0024312	lymphopenia
C0024419	waldenstrom macroglobulinemia
C0024421	macroglossia
C0024433	macrostomia
C0024437	macular degeneration
C0024439	macular corneal dystrophy
C0024440	macular edema, cystoid
C0024441	macular holes
C0024454	maffucci syndrome
C0024507	majewski syndrome
C0024517	single major depressive episode
C0024586	malignant carcinoid syndrome
C0024591	malignant hyperpyrexia due to anesthesia
C0024636	malocclusion
C0024713	manic disorder
C0024748	alpha-mannosidosis
C0024776	maple syrup urine disease
C0024790	paroxysmal nocturnal hemoglobinuria
C0024796	marfan syndrome
C0024809	marijuana abuse
C0024814	marinesco-sjogren syndrome
C0024899	mastocytosis
C0024904	mastoiditis
C0025037	meckel diverticulum
C0025149	medulloblastoma
C0025193	melancholia
C0025202	melanoma
C0025221	meleda disease
C0025237	melnick-needles syndrome
C0025267	multiple endocrine neoplasia type 1
C0025268	multiple endocrine neoplasia type 2a
C0025269	multiple endocrine neoplasia type 2b
C0025286	meningioma
C0025289	meningitis
C0025299	meningocele
C0025312	meningomyelocele
C0025322	premature menopause
C0025362	mental retardation
C0025637	methemoglobinemia
C0025988	microglossia
C0025990	micrognathism
C0025995	micromelia
C0026010	microphthalmos
C0026034	microstomia
C0026106	mild mental retardation
C0026205	miosis disorder
C0026267	mitral valve prolapse syndrome
C0026269	mitral valve stenosis
C0026351	moderate mental retardation (i.q. 35-49)
C0026654	moyamoya disease
C0026705	mucopolysaccharidosis ii
C0026708	mucopolysaccharidosis v
C0026709	mucopolysaccharidosis vi
C0026760	multiple epiphyseal dysplasia
C0026764	multiple myeloma
C0026847	spinal muscular atrophy
C0026850	muscular dystrophy
C0026985	myelodysplasia
C0026987	myelofibrosis
C0026998	acute myeloid leukemia, m1
C0027051	myocardial infarction
C0027092	myopia
C0027121	myositis
C0027127	myotonia congenita
C0027341	nail-patella syndrome
C0027404	narcolepsy
C0027430	nasal polyps
C0027609	neonatal abstinence syndrome
C0027613	neonatal hepatitis
C0027697	nephritis
C0027708	nephroblastoma
C0027709	nephrocalcinosis
C0027719	nephrosclerosis
C0027809	neurilemmoma
C0027819	neuroblastoma
C0027831	neurofibromatosis 1
C0027832	neurofibromatosis 2
C0027859	acoustic neuroma
C0027960	nevus
C0027962	melanocytic nevus
C0028077	night blindness
C0028326	noonan syndrome
C0028734	nocturia
C0028738	nystagmus
C0028754	obesity
C0028768	obsessive-compulsive disorder
C0028860	oculocerebrorenal syndrome
C0028866	oculomotor nerve paralysis
C0028882	odontoma
C0028945	oligodendroglioma
C0028960	oligospermia
C0029124	optic atrophy
C0029408	degenerative polyarthritis
C0029410	osteoarthritis of hip
C0029411	osteoarthropathy, primary hypertrophic
C0029421	osteochondritis dissecans
C0029423	cartilaginous exostosis
C0029440	osteoma
C0029442	osteomalacia
C0029443	osteomyelitis
C0029453	osteopenia
C0029454	osteopetrosis
C0029455	osteopoikilosis (disorder)
C0029456	osteoporosis
C0029463	osteosarcoma
C0029464	osteosclerosis
C0029882	otitis media
C0029899	otosclerosis
C0029927	ovarian cysts
C0030044	acrocephaly
C0030246	pustulosis of palms and soles
C0030283	pancreatic cyst
C0030293	pancreatic insufficiency
C0030297	pancreatic neoplasm
C0030299	pancreatic pseudocyst
C0030305	pancreatitis
C0030312	pancytopenia
C0030326	panniculitis
C0030353	papilledema
C0030354	papilloma
C0030360	papillon-lefevre disease
C0030421	paraganglioma
C0030436	parakeratosis
C0030446	paralytic ileus
C0030486	paraplegia
C0030578	paronychia inflammation
C0030590	paroxysmal supraventricular tachycardia
C0030591	paroxysmal ventricular tachycardia
C0030779	pelger-huet anomaly
C0030805	bullous pemphigoid
C0030920	peptic ulcer
C0031019	perianal abscess
C0031029	periapical granuloma
C0031039	pericardial effusion
C0031046	pericarditis
C0031048	pericarditis, constrictive
C0031069	familial mediterranean fever
C0031099	periodontitis
C0031106	periodontitis, juvenile
C0031111	periostitis
C0031154	peritonitis
C0031190	persistent fetal circulation syndrome
C0031256	petechiae
C0031269	peutz-jeghers syndrome
C0031511	pheochromocytoma
C0031575	phocomelia
C0031900	pierre robin syndrome
C0031941	pineal gland neoplasm
C0032000	pituitary adenoma
C0032027	pityriasis rubra pilaris
C0032131	plasmacytoma
C0032209	platybasia
C0032231	pleurisy
C0032285	pneumonia
C0032290	aspiration pneumonia
C0032460	polycystic ovary syndrome
C0032461	polycythemia
C0032463	polycythemia vera
C0032580	adenomatous polyposis coli
C0033036	atrial premature complexes
C0033117	priapism
C0033300	progeria
C0033375	prolactinoma
C0033581	prostatitis
C0033770	prune belly syndrome
C0033788	pseudo-hurler polydystrophy
C0033790	pseudobulbar palsy
C0033805	pseudohypoaldosteronism
C0033806	pseudohypoparathyroidism
C0033835	pseudopseudohypoparathyroidism
C0033847	pseudoxanthoma elasticum
C0033860	psoriasis
C0033937	psychoses, drug
C0033999	pterygium
C0034013	precocious puberty
C0034050	pulmonary alveolar proteinosis
C0034065	pulmonary embolism
C0034067	pulmonary emphysema
C0034069	pulmonary fibrosis
C0034072	cor pulmonale
C0034091	pulmonary veno-occlusive disease (disorder)
C0034150	purpura
C0034186	pyelonephritis
C0034212	pyoderma
C0034341	pyruvate carboxylase deficiency disease
C0034372	quadriplegia
C0034543	radicular cyst
C0034888	rectal prolapse
C0034895	rectovaginal fistula
C0034960	refsum disease
C0035067	renal artery stenosis
C0035078	kidney failure
C0035220	respiratory distress syndrome, newborn
C0035305	retinal detachment
C0035313	retinal dysplasia
C0035334	retinitis pigmentosa
C0035335	retinoblastoma
C0035344	retinopathy of prematurity
C0035372	rett syndrome
C0035412	rhabdomyosarcoma
C0035455	rhinitis
C0035528	riboflavin deficiency
C0035579	rickets
C0035615	right aortic arch (disorder)
C0035828	romano-ward syndrome
C0035854	rosacea
C0035934	rubinstein-taybi syndrome
C0036069	saldino-noonan syndrome
C0036161	sandhoff disease
C0036202	sarcoidosis
C0036337	schizoaffective disorder
C0036341	schizophrenia
C0036344	schizophrenia, catatonic
C0036346	schizophrenia, childhood
C0036349	paranoid schizophrenia
C0036351	residual schizophrenia
C0036391	schwartz-jampel syndrome
C0036400	scimitar syndrome
C0036489	sea-blue histiocyte syndrome
C0036508	seborrheic dermatitis
C0036631	seminoma
C0036651	senile lentigo
C0036690	septicemia
C0036857	severe mental retardation (i.q. 20-34)
C0036920	sezary syndrome
C0036939	shared paranoid disorder
C0037036	sialorrhea
C0037052	sick sinus syndrome
C0037199	sinusitis
C0037221	situs inversus
C0037231	sjogren-larsson syndrome
C0037287	skin nodule
C0037315	sleep apnea syndromes
C0037769	west syndrome
C0037772	spastic paraplegia
C0037773	spastic paraplegia, hereditary
C0037856	spermatic cord torsion
C0037859	spermatocele
C0037889	hereditary spherocytosis
C0037921	spinal ataxia
C0037926	compression of spinal cord
C0038015	spondyloepiphyseal dysplasia
C0038016	spondylolisthesis
C0038018	spondylolysis
C0038220	status epilepticus
C0038271	stereotyped behavior
C0038325	stevens-johnson syndrome
C0038362	stomatitis
C0038363	aphthous stomatitis
C0038379	strabismus
C0038505	sturge-weber syndrome
C0038525	subarachnoid hemorrhage
C0038605	subungual hyperkeratosis
C0038644	sudden infant death syndrome
C0038868	progressive supranuclear palsy
C0039075	syndactyly
C0039101	synovial sarcoma
C0039103	synovitis
C0039144	syringomyelia
C0039239	sinus tachycardia
C0039240	supraventricular tachycardia
C0039263	takayasu arteritis
C0039292	tangier disease
C0039373	tay-sachs disease
C0039445	hereditary hemorrhagic telangiectasia
C0039446	telangiectasis
C0039483	giant cell arteritis
C0039538	teratoma
C0039585	androgen-insensitivity syndrome
C0039621	tetany
C0039685	tetralogy of fallot
C0039841	thiamine deficiency
C0040015	thrombasthenia
C0040028	thrombocythemia, essential
C0040046	thrombophlebitis
C0040136	thyroid neoplasm
C0040147	thyroiditis
C0040261	onychomycosis
C0040412	fissured tongue
C0040479	torsades de pointes
C0040583	tracheal stenosis
C0040588	tracheoesophageal fistula
C0040961	tricuspid valve insufficiency
C0040962	tricuspid valve prolapse
C0040963	tricuspid valve stenosis
C0041105	trismus
C0041207	truncus arteriosus, persistent
C0041296	tuberculosis
C0041341	tuberous sclerosis
C0041349	nephritis, tubulointerstitial
C0041696	unipolar depression
C0041960	ureterocele
C0041972	urethral obstruction
C0042109	urticaria
C0042164	uveitis
C0042170	uveomeningoencephalitic syndrome
C0042341	varicocele
C0042345	varicosity
C0042384	vasculitis
C0042454	velopharyngeal insufficiency
C0042485	venous insufficiency
C0042510	ventricular fibrillation
C0042514	tachycardia, ventricular
C0042580	vesico-ureteral reflux
C0042582	vesicovaginal fistula
C0042781	visceral myopathy
C0042798	low vision
C0042842	vitamin a deficiency
C0042870	vitamin d deficiency
C0042875	vitamin e deficiency
C0042880	vitamin k deficiency
C0042900	vitiligo
C0042928	vocal cord paralysis
C0042961	intestinal volvulus
C0043116	hmn (hereditary motor neuropathy) proximal type i
C0043119	werner syndrome
C0043194	wiskott-aldrich syndrome
C0043202	wolff-parkinson-white syndrome
C0043207	wolfram syndrome
C0043208	wolman disease
C0043325	xanthomatosis
C0043346	xeroderma pigmentosum
C0043349	xerophthalmia
C0043352	xerostomia
C0043459	zellweger syndrome
C0043515	zollinger-ellison syndrome
C0078917	albinism, ocular
C0078981	arachnoid cysts
C0078982	arhinencephaly
C0079153	hyperkeratosis, epidermolytic
C0079154	congenital nonbullous ichthyosiform erythroderma
C0079218	fibromatosis, aggressive
C0079295	epidermolysis bullosa herpetiformis dowling-meara
C0079299	epidermolysis bullosa simplex kobner
C0079352	congenital torticollis
C0079474	hallopeau-siemens disease
C0079541	holoprosencephaly
C0079583	ichthyosiform erythroderma, congenital
C0079588	ichthyosis, x-linked
C0079661	klein's syndrome
C0079683	herlitz disease
C0079770	lymphoma, small noncleaved-cell
C0079773	lymphoma, t-cell, cutaneous
C0080024	piebaldism
C0080174	spina bifida occulta
C0080178	spina bifida
C0080218	tethered cord syndrome
C0080333	weber-cockayne syndrome
C0085083	ovarian hyperstimulation syndrome
C0085106	familial benign pemphigus
C0085109	corneal neovascularization
C0085110	severe combined immunodeficiency
C0085131	gangliosidosis gm1
C0085132	mucopolysaccharidosis vii
C0085159	seasonal affective disorder
C0085215	ovarian failure, premature
C0085220	cerebral amyloid angiopathy
C0085261	proteus syndrome
C0085307	embolism and thrombosis
C0085390	li-fraumeni syndrome
C0085543	epilepsia partialis continua
C0085547	phenylketonuria, maternal
C0085548	autosomal recessive polycystic kidney disease
C0085569	metabolic acidosis, nag, acidifying salts
C0085570	hypokalemic alkalosis
C0085576	iron-refractory iron deficiency anemia
C0085577	normocytic anemia
C0085581	restrictive lung disease
C0085583	choreoathetosis
C0085605	liver failure
C0085606	urgency of micturition
C0085612	ventricular arrhythmia
C0085614	first degree atrioventricular block
C0085615	right bundle branch block
C0085623	akinesia
C0085633	mood swings
C0085661	onycholysis
C0085669	acute leukemia
C0085679	hyperchloremia
C0085680	hypochloremia (disorder)
C0085681	hyperphosphatemia (disorder)
C0085684	foot-drop
C0085702	monocytosis
C0085762	alcohol abuse
C0085859	polyglandular type i autoimmune syndrome
C0086133	depressive syndrome
C0086431	hurler-scheie syndrome
C0086438	hypogammaglobulinemia
C0086543	cataract
C0086647	mucopolysaccharidosis type iiia
C0086648	mps iii b
C0086649	mps iii c
C0086650	mps iii d
C0086651	mucopolysaccharidosis, mps-iv-a
C0086652	mucopolysaccharidosis type ivb
C0086795	pfaundler-hurler syndrome
C0087012	ataxia, spinocerebellar
C0149516	chronic sinusitis
C0149521	pancreatitis, chronic
C0149630	bicuspid aortic valve
C0149645	cervical myelopathy
C0149696	food intolerance (disorder)
C0149704	gingivostomatitis
C0149721	left ventricular hypertrophy
C0149745	oral ulcer
C0149754	cellulitis of periorbital region
C0149781	spontaneous pneumothorax
C0149821	acute alcohol withdrawal
C0149871	deep vein thrombosis
C0149877	hypoglycemic encephalopathy
C0149887	slipped capital femoral epiphyses
C0149910	intermittent joint effusion
C0149925	small cell carcinoma of lung
C0149951	ovarian fibromata
C0149955	annular pancreas
C0149958	complex partial seizures
C0150080	social communication disorder
C0150988	sclerodactyly
C0151311	cranial nerve palsies
C0151313	sensory neuropathy
C0151468	thyroid gland follicular adenoma
C0151516	thyroid hypoplasia
C0151517	complete atrioventricular block
C0151544	gastrointestinal carcinoma
C0151714	hypermagnesemia
C0151718	hypocholesterolemia
C0151721	testicular hypogonadism
C0151740	intracranial hypertension
C0151747	renal tubular disorder
C0151857	pleocytosis
C0151861	porphyruria
C0151940	hypocalcemic tetany
C0151945	thrombosis of cerebral veins
C0152013	adenocarcinoma of lung (disorder)
C0152018	esophageal carcinoma
C0152020	gastroparesis
C0152025	polyneuropathy
C0152101	hypoplastic left heart syndrome
C0152109	juvenile spinal muscular atrophy
C0152115	lingual-facial-buccal dyskinesia
C0152132	hypertensive retinopathy
C0152200	achromatopsia
C0152205	alternating esotropia
C0152227	excessive tearing
C0152236	talipes valgus
C0152237	talipes calcaneovalgus
C0152240	uterus bilocularis
C0152264	familial erythrocytosis
C0152415	ankyloglossia
C0152419	interrupted aortic arch
C0152421	macrotia
C0152423	congenital small ears
C0152424	common ventricle
C0152426	craniorachischisis
C0152427	polydactyly
C0152436	hymen, imperforate
C0152438	sprengel deformity
C0152439	retinoschisis
C0152441	madelung deformity
C0152457	kayser-fleischer ring
C0152458	leukocoria
C0152459	linear atrophy
C0152491	salmonella osteomyelitis
C0154141	thyrotoxicosis with toxic single thyroid nodule
