Keywords	Num genes
acrofacial dysostosis, catania type	0
acrofacial dysostosis, patagonia type	0
acrofrontofacionasal dysostosis	0
acrokeratosis verruciformis	1
acromegaly	2
acromelic frontonasal dysostosis	0
acromesomelic dysplasia	2
acromesomelic dysplasia, grebe type	0
acromesomelic dysplasia, hunter-thompson type	1
acromesomelic dysplasia, maroteaux type	1
acrorenal syndrome	0
acth-secreting pituitary adenoma	1
actinic keratosis	0
actinobacillosis	0
actinomycosis	0
active cochlear meniere\'s disease	0
active cochleovestibular meniere\'s disease	0
active peptic ulcer disease	0
active vestibular meniere\'s disease	0
acute allergic mucoid otitis media	0
acute allergic sanguinous otitis media	0
acute allergic serous otitis media	0
acute anterolateral myocardial infarction	0
acute apical periodontitis	0
acute canaliculitis	0
acute chest syndrome	0
acute cholangitis	0
acute closed-angle glaucoma	0
acute contagious conjunctivitis	0
acute cor pulmonale	0
acute dacryoadenitis	0
acute dacryocystitis	0
acute diarrhea	0
acute diffuse nephritis	0
acute endophthalmitis	0
acute ethmoiditis	0
acute eustachian salpingitis	0
acute female pelvic peritonitis	0
acute frontal sinusitis	0
acute gonococcal cervicitis	0
acute gonococcal cystitis	0
acute gonococcal endometritis	0
acute gonococcal epididymo-orchitis	0
acute gonococcal prostatitis	0
acute gonococcal salpingitis	0
acute hemorrhagic conjunctivitis	0
acute hemorrhagic encephalitis	0
acute hemorrhagic leukoencephalitis	0
acute hydrops keratoconus	0
acute infection of pinna	0
acute inferolateral myocardial infarction	0
acute inferoposterior infarction	0
acute intermittent porphyria	1
acute interstitial pneumonia	0
acute kidney tubular necrosis	0
acute laryngopharyngitis	0
acute leukemia	11
acute maxillary sinusitis	0
acute necrotizing encephalitis	0
acute pancreatitis	2
acute pericementitis	0
acute perichondritis of pinna	0
acute poststreptococcal glomerulonephritis	0
acute promyelocytic leukemia	5
acute pyelonephritis	0
acute retinal necrosis syndrome	0
acute retrobulbar neuritis	0
acute salpingo-oophoritis	0
acute sphenoidal sinusitis	0
acute t cell leukemia	0
acute thyroiditis	0
acute tympanitis	0
acute urate nephropathy	0
acute vascular insufficiency of intestine	0
adamantinoid basal cell epithelioma	0
adamantinous craniopharyngioma	0
adams-oliver syndrome	3
addison\'s disease	0
adenine phosphoribosyltransferase deficiency	1
adenocarcinoma in situ	0
adenoid basal cell carcinoma	0
adenoid cystic carcinoma	11
adenoid hypertrophy	0
adenoid squamous cell carcinoma	0
adenoiditis	0
adenosine deaminase deficiency	1
adenosquamous bile duct carcinoma	0
adenosquamous breast carcinoma	0
adenosquamous colon carcinoma	0
adenosquamous gallbladder carcinoma	0
adenosquamous lung carcinoma	0
adenosquamous prostate carcinoma	0
adenylosuccinase lyase deficiency	0
adhesions of uterus	0
adhesive otitis media	0
adiaspiromycosis	0
adie syndrome	0
adiposis dolorosa	0
adjustment disorder	0
adrenal carcinoma	0
adrenal cortical adenocarcinoma	0
adrenal cortical adenoma	0
adrenal gland ganglioneuroblastoma	0
adrenal gland pheochromocytoma	0
adrenal medulla carcinoma	0
adrenal neuroblastoma	0
adrenal rest tumor	0
adrenocorticotropic hormone deficiency	1
adrenoleukodystrophy	20
adult acute monocytic leukemia	0
adult botryoid rhabdomyosarcoma	0
adult brain ependymoma	0
adult brainstem astrocytoma	0
adult brainstem gliosarcoma	0
adult brainstem mixed glioma	0
adult central nervous system choriocarcinoma	0
adult central nervous system embryonal carcinoma	0
adult central nervous system germinoma	0
adult central nervous system immature teratoma	0
adult central nervous system mature teratoma	0
adult central nervous system mixed germ cell tumor	0
adult central nervous system primitive neuroectodermal neoplasm	0
adult central nervous system teratoma	0
adult cerebellar neoplasm	0
adult choroid plexus cancer	0
adult cystic teratoma	0
adult dermatomyositis	0
adult endodermal sinus tumor	0
adult ependymoblastoma	0
adult epithelioid sarcoma	0
adult extraosseous chondrosarcoma	0
adult extraosseous osteosarcoma	0
adult fibrosarcoma	0
adult hypophosphatasia	0
adult infiltrating astrocytic neoplasm	0
adult intracranial malignant hemangiopericytoma	0
adult leptomeningeal melanoma	0
adult liposarcoma	0
adult lymphoma	0
adult malignant hemangiopericytoma	0
adult malignant mesenchymoma	0
adult malignant schwannoma	0
adult medulloblastoma	0
adult mesenchymal chondrosarcoma	0
adult mesoblastic nephroma	0
adult myxoid chondrosarcoma	0
adult oligodendroglioma	0
adult papillary meningioma	0
adult pineoblastoma	0
adult pleomorphic rhabdomyosarcoma	0
adult respiratory distress syndrome	0
adult spinal cord ependymoma	0
adult spinal cord glioblastoma multiforme	0
adult spinal muscular atrophy	0
adult syndrome	1
adult t-cell leukemia	1
adult teratoma	0
adult type testicular granulosa cell tumor	0
adult vagina botryoid rhabdomyosarcoma	0
adult xanthogranuloma	0
adult-onset autosomal dominant demyelinating leukodystrophy	0
adult-onset still\'s disease	0
advanced sleep phase syndrome	2
advanced sleep phase syndrome 1	0
advanced sleep phase syndrome 2	0
advanced sleep phase syndrome 3	0
afferent loop syndrome	0
aflatoxins-related hepatocellular carcinoma	0
african histoplasmosis	0
african iron overload	0
african tick-bite fever	0
agat deficiency	1
age related macular degeneration 1	0
age related macular degeneration 10	0
age related macular degeneration 11	0
age related macular degeneration 12	0
age related macular degeneration 13	0
age related macular degeneration 14	0
age related macular degeneration 15	0
age related macular degeneration 2	0
age related macular degeneration 4	0
age related macular degeneration 5	0
age related macular degeneration 6	0
age related macular degeneration 7	0
age related macular degeneration 8	0
age related macular degeneration 9	0
agenesis of the corpus callosum with peripheral neuropathy	1
aggressive digital papillary adenocarcinoma	0
aggressive periodontitis	0
aggressive systemic mastocytosis	0
agnathia-otocephaly complex	1
agoraphobia	0
agraphia	0
aicardi syndrome	0
aicardi-goutieres syndrome	6
aids phobia	0
ainhum	0
akinetic mutism	0
akinetopsia	0
alagille syndrome	2
aland island eye disease	1
albright\'s hereditary osteodystrophy	0
alcohol dependence	6
alcohol use disorder	0
alcohol-related birth defect	0
alcohol-related neurodevelopmental disorder	0
alcoholic cardiomyopathy	0
alcoholic gastritis	0
alcoholic hepatitis	0
alcoholic liver cirrhosis	0
alcoholic neuropathy	0
alcoholic pancreatitis	1
alcoholic psychosis	0
alcuronium bromide allergy	0
aleukemic monocytic leukemia cutis	0
aleutian mink disease	0
alexander disease	1
alexia	0
alexithymia	0
algoneurodystrophy	0
alkaptonuria	1
alkhurma hemorrhagic fever	0
allan-herndon-dudley syndrome	1
allergic bronchopulmonary aspergillosis	0
allergic contact dermatitis of eyelid	0
allergic cutaneous vasculitis	0
allergic rhinitis	3
allergic urticaria	0
allescheriosis	0
alopecia universalis	2
alpers syndrome	0
alpha 1-antitrypsin deficiency	1
alpha chain disease	0
alpha thalassemia-intellectual disability syndrome type 1	0
alpha thalassemia-x-linked intellectual disability syndrome	0
alpha-2-plasmin inhibitor deficiency	1
alpha-mannosidosis	1
alpha-methylacyl-coa racemase deficiency	1
alstrom syndrome	1
alternating esotropia	0
alternating exotropia	0
alternating hemiplegia of childhood	2
alveolar echinococcosis	0
alveolar periostitis	0
alveolar rhabdomyosarcoma	1
alveolar soft part sarcoma	2
alveoli adenoma	0
alzheimer\'s disease 10	0
alzheimer\'s disease 11	0
alzheimer\'s disease 12	0
alzheimer\'s disease 13	0
alzheimer\'s disease 14	0
alzheimer\'s disease 15	0
alzheimer\'s disease 16	0
alzheimer\'s disease 17	0
alzheimer\'s disease 18	0
alzheimer\'s disease 19	0
alzheimer\'s disease 2	0
alzheimer\'s disease 3	0
alzheimer\'s disease 4	0
alzheimer\'s disease 5	0
alzheimer\'s disease 6	0
alzheimer\'s disease 7	0
alzheimer\'s disease 8	0
ambras type hypertrichosis universalis congenita	0
amebiasis	0
amelanotic melanoma	0
ameloblastoma	1
amelogenesis imperfecta hypomaturation type 2a2	1
amelogenesis imperfecta hypomaturation type 2a3	1
amelogenesis imperfecta hypomaturation type 2a4	1
amelogenesis imperfecta hypomaturation type 2a5	0
amelogenesis imperfecta type 1a	0
amelogenesis imperfecta type 1b	1
amelogenesis imperfecta type 1c	1
amelogenesis imperfecta type 1e	1
amelogenesis imperfecta type 1f	0
amelogenesis imperfecta type 1g	0
amelogenesis imperfecta type 1h	0
amelogenesis imperfecta type 2a1	0
amelogenesis imperfecta type 3a	0
amelogenesis imperfecta type 3b	0
amelogenesis imperfecta type 4	1
amenorrhea	13
american histoplasmosis	0
ametropic amblyopia	0
amodiaquine allergy	0
amoxicillin allergy	0
amphetamine abuse	0
ampulla of vater adenosquamous carcinoma	0
ampulla of vater clear cell adenocarcinoma	0
ampulla of vater mucinous adenocarcinoma	0
ampulla of vater small cell carcinoma	0
ampulla of vater squamous cell carcinoma	0
ampullary signet ring cell adenocarcinoma	0
amusia	0
amyloid tumor	0
amyotrophic lateral sclerosis type 1	1
amyotrophic lateral sclerosis type 10	1
amyotrophic lateral sclerosis type 11	1
amyotrophic lateral sclerosis type 12	1
amyotrophic lateral sclerosis type 13	1
amyotrophic lateral sclerosis type 14	3
amyotrophic lateral sclerosis type 15	1
amyotrophic lateral sclerosis type 16	1
amyotrophic lateral sclerosis type 17	1
amyotrophic lateral sclerosis type 18	0
amyotrophic lateral sclerosis type 19	0
amyotrophic lateral sclerosis type 2	1
amyotrophic lateral sclerosis type 20	0
amyotrophic lateral sclerosis type 21	0
amyotrophic lateral sclerosis type 22	0
amyotrophic lateral sclerosis type 23	0
amyotrophic lateral sclerosis type 3	0
amyotrophic lateral sclerosis type 4	1
amyotrophic lateral sclerosis type 5	0
amyotrophic lateral sclerosis type 6	1
amyotrophic lateral sclerosis type 7	0
amyotrophic lateral sclerosis type 8	1
amyotrophic lateral sclerosis type 9	1
amyotrophic neuralgia	0
anaerobic meningitis	0
anaerobic pneumonia	0
anal buschke-lowenstein tumor	0
anal canal cancer	0
anal canal carcinoma	0
anal canal paget\'s disease	0
anal canal squamous cell carcinoma	0
anal carcinoma in situ	0
anal colloid adenocarcinoma	0
anal fistula	0
anal gland adenocarcinoma	0
anal gland neoplasm	0
anal margin basal cell carcinoma	0
anal margin squamous cell carcinoma	0
anal neuroendocrine tumor	0
anal paget\'s disease	0
anal spasm	0
anaplastic large cell lymphoma	3
anatomical narrow angle borderline glaucoma	0
anauxetic dysplasia 1	0
ancylostomiasis	0
andersen-tawil syndrome	0
androgen insensitivity syndrome	1
androgenic alopecia	0
anemia of prematurity	0
aneruptive fever	0
angelman syndrome	9
angelucci\'s syndrome	0
angiodysplasia	0
angiodysplasia of intestine	0
angioid streaks	0
angioid streaks of choroid	0
angioimmunoblastic t-cell lymphoma	0
angiokeratoma circumscriptum	0
angiokeratoma of fordyce	0
angiokeratoma of mibelli	0
angioma serpiginosum	0
angiomatous meningioma	0
angiostrongyliasis	0
angular blepharoconjunctivitis	0
angular cheilitis	0
animal phobia	0
aniridia	3
anisakiasis	0
aniseikonia	0
anismus	0
anisometropia	0
ankyloblepharon-ectodermal defects-cleft lip/palate syndrome	0
ankyloglossia	2
ankylosing spondylitis	38
annular pancreas	1
anodontia	1
anogenital venereal wart	0
anomalous left coronary artery from the pulmonary artery	0
anonychia congenita	1
anorectal stricture	0
anorexia nervosa	2
anosognosia	0
anovulation	0
anterior cerebral artery infarction	0
anterior compartment syndrome	0
anterior corneal pigmentation	0
anterior dislocation of lens	0
anterior foramen magnum meningioma	0
anterior horn cell disease	2
anterior optic tract meningioma	0
anterior segment mesenchymal dysgenesis	2
anterior spinal artery syndrome	0
anterior urethra cancer	0
anterograde amnesia	0
anterolateral myocardial infarction	0
anteroseptal myocardial infarction	0
anthracosilicosis	0
anthracosis	0
anti-basement membrane glomerulonephritis	0
antidepressant type abuse	0
antiphospholipid syndrome	0
antisocial personality disorder	0
antithrombin iii deficiency	3
antley-bixler syndrome	2
anuria	4
anus basaloid carcinoma	0
anus leiomyoma	0
anus leiomyosarcoma	0
anus lymphoma	0
anus rhabdomyosarcoma	0
aorta angiosarcoma	0
aorta atresia	0
aortic atherosclerosis	0
aortic malignant tumor	0
aortic valve insufficiency	0
aortic valve prolapse	0
aortitis	0
aphthous stomatitis	0
apical myocardial infarction	0
apocrine adenoma	0
apocrine adenosis of breast	0
app-related cerebral amyloid angiopathy	0
apparent mineralocorticoid excess syndrome	0
appendiceal l-cell glucagon-like peptide producing tumor	0
appendiceal neoplasm	0
appendicitis	0
appendix carcinoid tumor	0
appendix leiomyoma	0
appendix lymphoma	0
appendix mucinous cystadenocarcinoma	0
apperceptive agnosia	0
apple allergy	0
apricot allergy	0
aqueous misdirection	0
arachnoiditis	0
arc syndrome	0
arcus senilis	1
argentine hemorrhagic fever	0
argininosuccinic aciduria	1
argyll robertson pupil	0
ariboflavinosis	0
armfield syndrome	0
aromatase excess syndrome	2
aromatic l-amino acid decarboxylase deficiency	1
arrhythmogenic right ventricular dysplasia 1	1
arrhythmogenic right ventricular dysplasia 10	1
arrhythmogenic right ventricular dysplasia 11	2
arrhythmogenic right ventricular dysplasia 12	1
arrhythmogenic right ventricular dysplasia 13	0
arrhythmogenic right ventricular dysplasia 2	1
arrhythmogenic right ventricular dysplasia 3	0
arrhythmogenic right ventricular dysplasia 4	0
arrhythmogenic right ventricular dysplasia 5	1
arrhythmogenic right ventricular dysplasia 6	0
arrhythmogenic right ventricular dysplasia 8	1
arrhythmogenic right ventricular dysplasia 9	1
arterial calcification of infancy	2
arterial tortuosity syndrome	1
arteriolosclerosis	0
arteriosclerosis obliterans	0
arteriovenous malformation	1
arteriovenous malformations of the brain	0
arteritic anterior ischemic optic neuropathy	1
arthrogryposis due to muscular dystrophy	0
arthus reaction	0
arts syndrome	1
aryepiglottic fold cancer	0
asbestos-related lung carcinoma	0
asbestosis	0
ascariasis	0
ascaridiasis	0
ascending cholangitis	0
aseptic meningitis	0
askin\'s tumor	0
aspartylglucosaminuria	1
asperger syndrome	3
asphyxia neonatorum	0
asphyxiating thoracic dystrophy 1	0
asphyxiating thoracic dystrophy 2	1
asphyxiating thoracic dystrophy 3	1
asphyxiating thoracic dystrophy 4	1
asphyxiating thoracic dystrophy 5	1
aspirin allergy	0
associative agnosia	0
astereognosia	0
asthenopia	0
astrakhan spotted fever	0
astroblastoma	0
asymmetric motor neuropathy	0
asymptomatic dengue	0
asymptomatic neurosyphilis	0
asynchronous multifocal osteogenic sarcoma	0
ataxia telangiectasia	5
ataxia with oculomotor apraxia type 1	0
ataxia with oculomotor apraxia type 2	0
ataxia with oculomotor apraxia type 3	0
ataxic cerebral palsy	0
atelosteogenesis	3
athabaskan brainstem dysgenesis syndrome	1
atheroembolism of kidney	0
atlantic cod allergy	0
atlantic salmon allergy	0
atopic dermatitis 2	0
atopic dermatitis 3	0
atopic dermatitis 4	0
atopic dermatitis 5	0
atopic dermatitis 6	0
atopic dermatitis 7	0
atopic dermatitis 8	0
atopic dermatitis 9	0
atransferrinemia	1
atrial heart septal defect 1	0
atrial heart septal defect 2	0
atrial heart septal defect 3	0
atrial heart septal defect 4	0
atrial heart septal defect 5	0
atrial heart septal defect 6	0
atrial heart septal defect 7	0
atrial heart septal defect 8	0
atrial heart septal defect 9	0
atrichia with papular lesions	1
atrioventricular septal defect	7
atrophic flaccid tympanic membrane	0
atrophic gastritis	0
atrophic nonflaccid tympanic membrane	0
atrophic rhinitis	0
atrophic vulva	0
atrophy of prostate	0
atrophy of testis	0
attention deficit hyperactivity disorder	5
atypical autism	0
atypical breast papilloma	0
atypical choroid plexus papilloma	0
atypical chronic myeloid leukemia	1
atypical depressive disorder	0
atypical follicular adenoma	0
atypical gaucher\'s disease due to saposin c deficiency	0
atypical hemolytic-uremic syndrome	7
atypical hereditary sensory neuropathy	0
atypical neurofibroma	0
atypical polypoid adenomyoma	0
atypical teratoid rhabdoid tumor	0
auditory agnosia	0
auricular cancer	0
autistic disorder	0
autoimmune atherosclerosis	0
autoimmune cardiomyopathy	0
autoimmune disease of exocrine system	0
autoimmune disease of eyes, ear, nose and throat	0
autoimmune gastritis	0
autoimmune glomerulonephritis	0
autoimmune hemolytic anemia	2
autoimmune hepatitis	0
autoimmune lymphoproliferative syndrome type 2a	1
autoimmune lymphoproliferative syndrome type 2b	0
autoimmune lymphoproliferative syndrome type 3	0
autoimmune lymphoproliferative syndrome type 4	1
autoimmune neuropathy	0
autoimmune optic neuritis	0
autoimmune pancreatitis	0
autoimmune peripheral neuropathy	0
autoimmune polyendocrine syndrome type 1	0
autoimmune polyendocrine syndrome type 2	0
autoimmune thrombocytopenic purpura	0
autoimmune thyroiditis	1
autoimmune uveitis	1
autoimmune vasculitis	0
autonomic peripheral neuropathy	0
autosomal dominant alport syndrome	0
autosomal dominant auditory neuropathy 1	0
autosomal dominant cerebellar ataxia, deafness and narcolepsy	0
autosomal dominant chondrodysplasia punctata	0
autosomal dominant chronic granulomatous disease	0
autosomal dominant cutis laxa 1	0
autosomal dominant cutis laxa 2	0
autosomal dominant cutis laxa 3	0
autosomal dominant dyskeratosis congenita 1	0
autosomal dominant dyskeratosis congenita 2	0
autosomal dominant dyskeratosis congenita 3	0
autosomal dominant dyskeratosis congenita 4	0
autosomal dominant dyskeratosis congenita 6	0
autosomal dominant dystrophic epidermolysis bullosa	0
autosomal dominant emery-dreifuss muscular dystrophy 2	0
autosomal dominant emery-dreifuss muscular dystrophy 4	0
autosomal dominant emery-dreifuss muscular dystrophy 5	0
autosomal dominant emery-dreifuss muscular dystrophy 7	0
autosomal dominant familial periodic fever	0
autosomal dominant hypocalcemia 1	0
autosomal dominant hypocalcemia 2	0
autosomal dominant hypophosphatemic rickets	0
autosomal dominant isolated ectopia lentis 1	0
autosomal dominant keratitis-ichthyosis-deafness syndrome	0
autosomal dominant limb-girdle muscular dystrophy type 1a	0
autosomal dominant limb-girdle muscular dystrophy type 1b	0
autosomal dominant limb-girdle muscular dystrophy type 1c	0
autosomal dominant limb-girdle muscular dystrophy type 1e	0
autosomal dominant limb-girdle muscular dystrophy type 1f	0
autosomal dominant limb-girdle muscular dystrophy type 1g	0
autosomal dominant limb-girdle muscular dystrophy type 1h	0
autosomal dominant macrothrombocytopenia tubb1-related	0
autosomal dominant mental retardation 20	0
autosomal dominant mental retardation 45	0
autosomal dominant mental retardation 46	0
autosomal dominant mental retardation 47	0
autosomal dominant mental retardation 48	0
autosomal dominant mental retardation 49	0
autosomal dominant mental retardation 50	0
autosomal dominant mental retardation 51	0
autosomal dominant mental retardation 52	0
autosomal dominant mental retardation 53	0
autosomal dominant mental retardation 54	0
autosomal dominant mental retardation 55	0
autosomal dominant mental retardation 56	0
autosomal dominant microcephaly	0
autosomal dominant nocturnal frontal lobe epilepsy 1	0
autosomal dominant nocturnal frontal lobe epilepsy 2	0
autosomal dominant nocturnal frontal lobe epilepsy 3	0
autosomal dominant nocturnal frontal lobe epilepsy 4	0
autosomal dominant nocturnal frontal lobe epilepsy 5	0
autosomal dominant non-syndromic intellectual disability 1	0
autosomal dominant non-syndromic intellectual disability 10	0
autosomal dominant non-syndromic intellectual disability 11	0
autosomal dominant non-syndromic intellectual disability 13	0
autosomal dominant non-syndromic intellectual disability 18	0
autosomal dominant non-syndromic intellectual disability 19	0
autosomal dominant non-syndromic intellectual disability 2	0
autosomal dominant non-syndromic intellectual disability 21	0
autosomal dominant non-syndromic intellectual disability 22	0
autosomal dominant non-syndromic intellectual disability 23	0
autosomal dominant non-syndromic intellectual disability 24	0
autosomal dominant non-syndromic intellectual disability 26	0
autosomal dominant non-syndromic intellectual disability 27	0
autosomal dominant non-syndromic intellectual disability 29	0
autosomal dominant non-syndromic intellectual disability 3	0
autosomal dominant non-syndromic intellectual disability 30	0
autosomal dominant non-syndromic intellectual disability 31	0
autosomal dominant non-syndromic intellectual disability 32	0
autosomal dominant non-syndromic intellectual disability 33	0
autosomal dominant non-syndromic intellectual disability 34	0
autosomal dominant non-syndromic intellectual disability 35	0
autosomal dominant non-syndromic intellectual disability 36	0
autosomal dominant non-syndromic intellectual disability 38	0
autosomal dominant non-syndromic intellectual disability 39	0
autosomal dominant non-syndromic intellectual disability 4	0
autosomal dominant non-syndromic intellectual disability 40	0
autosomal dominant non-syndromic intellectual disability 41	0
autosomal dominant non-syndromic intellectual disability 42	0
autosomal dominant non-syndromic intellectual disability 43	0
autosomal dominant non-syndromic intellectual disability 44	0
autosomal dominant non-syndromic intellectual disability 5	0
autosomal dominant non-syndromic intellectual disability 6	0
autosomal dominant non-syndromic intellectual disability 7	0
autosomal dominant non-syndromic intellectual disability 8	0
autosomal dominant non-syndromic intellectual disability 9	0
autosomal dominant nonsyndromic deafness 1	0
autosomal dominant nonsyndromic deafness 10	0
autosomal dominant nonsyndromic deafness 11	0
autosomal dominant nonsyndromic deafness 12	0
autosomal dominant nonsyndromic deafness 13	0
autosomal dominant nonsyndromic deafness 15	0
autosomal dominant nonsyndromic deafness 16	0
autosomal dominant nonsyndromic deafness 17	0
autosomal dominant nonsyndromic deafness 18	0
autosomal dominant nonsyndromic deafness 20	0
autosomal dominant nonsyndromic deafness 21	0
autosomal dominant nonsyndromic deafness 22	0
autosomal dominant nonsyndromic deafness 23	0
autosomal dominant nonsyndromic deafness 24	0
autosomal dominant nonsyndromic deafness 25	0
autosomal dominant nonsyndromic deafness 27	0
autosomal dominant nonsyndromic deafness 28	0
autosomal dominant nonsyndromic deafness 2a	0
autosomal dominant nonsyndromic deafness 2b	0
autosomal dominant nonsyndromic deafness 30	0
autosomal dominant nonsyndromic deafness 31	0
autosomal dominant nonsyndromic deafness 33	0
autosomal dominant nonsyndromic deafness 34	0
autosomal dominant nonsyndromic deafness 36	0
autosomal dominant nonsyndromic deafness 3a	0
autosomal dominant nonsyndromic deafness 3b	0
autosomal dominant nonsyndromic deafness 40	0
autosomal dominant nonsyndromic deafness 41	0
autosomal dominant nonsyndromic deafness 43	0
autosomal dominant nonsyndromic deafness 44	0
autosomal dominant nonsyndromic deafness 47	0
autosomal dominant nonsyndromic deafness 48	0
autosomal dominant nonsyndromic deafness 49	0
autosomal dominant nonsyndromic deafness 4a	0
autosomal dominant nonsyndromic deafness 4b	0
autosomal dominant nonsyndromic deafness 5	0
autosomal dominant nonsyndromic deafness 50	0
autosomal dominant nonsyndromic deafness 51	0
autosomal dominant nonsyndromic deafness 52	0
autosomal dominant nonsyndromic deafness 53	0
autosomal dominant nonsyndromic deafness 54	0
autosomal dominant nonsyndromic deafness 56	0
autosomal dominant nonsyndromic deafness 58	0
autosomal dominant nonsyndromic deafness 59	0
autosomal dominant nonsyndromic deafness 6	0
autosomal dominant nonsyndromic deafness 64	0
autosomal dominant nonsyndromic deafness 65	0
autosomal dominant nonsyndromic deafness 66	0
autosomal dominant nonsyndromic deafness 67	0
autosomal dominant nonsyndromic deafness 68	0
autosomal dominant nonsyndromic deafness 69	0
autosomal dominant nonsyndromic deafness 7	0
autosomal dominant nonsyndromic deafness 70	0
autosomal dominant nonsyndromic deafness 71	0
autosomal dominant nonsyndromic deafness 72	0
autosomal dominant nonsyndromic deafness 73	0
autosomal dominant nonsyndromic deafness 9	0
autosomal dominant osteopetrosis 1	0
autosomal dominant osteopetrosis 2	0
autosomal dominant parkinson\'s disease 1	0
autosomal dominant parkinson\'s disease 4	0
autosomal dominant parkinson\'s disease 8	0
autosomal dominant pseudohypoaldosteronism type 1	0
autosomal dominant robinow syndrome 1	0
autosomal dominant robinow syndrome 2	0
autosomal dominant robinow syndrome 3	0
autosomal dominant sensory ataxia 1	0
autosomal dominant sideroblastic anemia	0
autosomal dominant type iv ehlers-danlos syndrome	0
autosomal recessive alport syndrome	0
autosomal recessive chronic granulomatous disease cytochrome b-negative	0
autosomal recessive chronic granulomatous disease cytochrome b-positive type i	0
autosomal recessive chronic granulomatous disease cytochrome b-positive type ii	0
autosomal recessive chronic granulomatous disease cytochrome b-positive type iii	0
autosomal recessive congenital ichthyosis 1	0
autosomal recessive congenital ichthyosis 10	0
autosomal recessive congenital ichthyosis 11	0
autosomal recessive congenital ichthyosis 13	0
autosomal recessive congenital ichthyosis 14	0
autosomal recessive congenital ichthyosis 2	0
autosomal recessive congenital ichthyosis 3	0
autosomal recessive congenital ichthyosis 4a	0
autosomal recessive congenital ichthyosis 4b	0
autosomal recessive congenital ichthyosis 5	0
autosomal recessive congenital ichthyosis 6	0
autosomal recessive congenital ichthyosis 7	0
autosomal recessive congenital ichthyosis 8	0
autosomal recessive congenital ichthyosis 9	0
autosomal recessive cutis laxa type ia	0
autosomal recessive cutis laxa type ib	0
autosomal recessive cutis laxa type ic	0
autosomal recessive cutis laxa type iia	0
autosomal recessive cutis laxa type iib	0
autosomal recessive cutis laxa type iic	0
autosomal recessive cutis laxa type iid	0
autosomal recessive cutis laxa type iiia	0
autosomal recessive cutis laxa type iiib	0
autosomal recessive distal spinal muscular atrophy 1	0
autosomal recessive distal spinal muscular atrophy 2	0
autosomal recessive dyskeratosis congenita 1	0
autosomal recessive dyskeratosis congenita 2	0
autosomal recessive dyskeratosis congenita 3	0
autosomal recessive dyskeratosis congenita 4	0
autosomal recessive dyskeratosis congenita 5	0
autosomal recessive dyskeratosis congenita 6	0
autosomal recessive early-onset parkinson\'s disease 15	0
autosomal recessive early-onset parkinson\'s disease 23	0
autosomal recessive early-onset parkinson\'s disease 6	0
autosomal recessive early-onset parkinson\'s disease 7	0
autosomal recessive emery-dreifuss muscular dystrophy 3	0
